Table 2-11:  Electric Power-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Fuel Type or Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,1831.0,1828.2,1843.0,1918.5,1944.1,1962.2,2036.2,2103.2,2191.4,2205.1,2310.1,2271.5,2287.2,2318.2,2350.8,2416.3,2361.2,2428.2,2374.8,2161.0,2275.0,2173.8,2038.2,2054.4,2054.1,1917.5,1825.1,1747.9
,Fossil Fuel Combustion,1820.0,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.0,2257.1,2272.1,2303.6,2335.0,2400.0,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.2,2038.3,2037.1,1900.6,1808.9,1732.0
,Coal,1546.5,1547.2,1568.5,1631.6,1637.9,1659.9,1751.5,1796.0,1827.1,1835.4,1926.4,1868.8,1888.9,1930.0,1942.0,1982.8,1952.7,1986.2,1958.4,1740.2,1827.2,1722.4,1511.7,1571.3,1568.6,1351.4,1242.0,1207.1
,Natural Gas,175.4,179.0,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306.0,278.1,296.8,318.9,338.0,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545.0,505.6
,Petroleum,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.4,98.4,76.8,95.0,95.8,97.9,53.2,52.9,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.4,18.9
,Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Incineration of Waste,8.0,8.0,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11.0,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11.1,10.5,10.4,10.3,10.4,10.7,10.8,10.8
,Other Process Uses of Carbonates,3.1,2.8,2.8,2.6,2.8,3.8,4.1,3.9,4.0,4.4,3.0,3.0,3.2,2.5,3.5,3.8,4.3,4.3,3.6,4.3,5.4,5.2,4.6,5.8,6.5,6.1,5.5,5.1
,CH4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.1
,Stationary Sourcesa ,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.1
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,21.0,20.9,21.1,21.9,22.4,22.6,23.2,23.7,24.3,24.4,25.7,25.6,26.8,28.0,29.1,30.4,30.2,30.6,30.4,28.2,30.4,29.2,26.8,28.9,29.2,26.8,26.5,25.1
,Stationary Sourcesa,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24.0,24.0,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30.0,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,SF6,23.1,22.1,22.1,21.4,20.2,18.6,17.0,15.6,13.3,13.6,12.7,12.1,11.0,9.9,9.1,8.3,7.1,6.2,6.1,5.8,5.8,5.9,4.7,4.4,4.6,4.1,4.4,4.3
,Electrical Transmission and Distribution,23.1,22.1,22.1,21.4,20.2,18.6,17.0,15.6,13.3,13.6,12.7,12.1,11.0,9.9,9.1,8.3,7.1,6.2,6.1,5.8,5.8,5.9,4.7,4.4,4.6,4.1,4.4,4.3
,Total,1875.5,1871.6,1886.5,1962.3,1987.1,2003.8,2076.8,2143.0,2229.5,2243.6,2349.1,2309.7,2325.7,2356.8,2389.9,2455.9,2399.3,2466.0,2412.1,2195.9,2312.2,2209.8,2070.8,2088.7,2088.9,1949.5,1857.2,1778.3
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes only stationary combustion emissions related to the generation of electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
