Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percenta
,Industry,2300.9,2261.6,2316.7,2297.9,2336.3,2346,2392,2405.7,2393.4,2348.3,2354.6,2250.8,2218.3,2218.3,2267,2223.5,2228.1,2214.7,2142.9,1894.9,2031.1,2019.7,1978.7,2036.7,2023,1973.6,1906.4,1915.6,29.70%
,Direct Emissions,1628.6,1601.1,1631.5,1604.9,1629.8,1648,1675.4,1673,1646.6,1599.2,1588.8,1538.5,1522.1,1498.1,1546.5,1508.4,1538.4,1529,1471.6,1319.2,1415.5,1421.2,1415,1469.5,1459.3,1451.2,1414.1,1436.5,22.20%
,CO2,1160.8,1143,1176.5,1166.4,1192.7,1211.6,1240.2,1249.4,1224.2,1197.2,1196,1166.8,1153.2,1142,1187.1,1146.4,1172.9,1158.2,1102.7,971.3,1056.4,1060.1,1068.9,1120.6,1106.6,1101.7,1072.8,1091.3,16.90%
,CH4,353.8,353.1,348.2,333.7,335.1,326.6,323.4,320.8,313.6,306,302.1,303.9,294.7,293.9,293.6,293.6,297.6,293.5,307.5,299.4,301.5,292.2,285.1,289.3,289.1,285.1,275.3,275.9,4.30%
,N2O,37.6,37,35.4,37.1,37.8,41.4,41.9,35.4,30.7,29.7,30,26.5,27.4,27.3,25.8,29.7,31,34.8,24.7,22.7,26.6,32,26.9,25.6,27.3,26.7,28,27.1,0.40%
,"HFCs, PFCs, SF6, and NF3",76.3,68,71.5,67.7,64.2,68.4,69.9,67.5,78.1,66.3,60.7,41.3,46.8,34.9,39.9,38.7,36.9,42.5,36.7,25.8,30.9,36.9,34.1,34,36.3,37.7,38,42.2,0.70%
,Electricity-Related,672.3,660.5,685.2,693,706.5,698,716.6,732.7,746.8,749.1,765.8,712.2,696.2,720.3,720.5,715.2,689.6,685.7,671.3,575.7,615.7,598.4,563.7,567.2,563.7,522.4,492.3,479.2,7.40%
,CO2,656.4,645.2,669.3,677.6,691.2,683.5,702.6,719.1,734,736.3,753.1,700.5,684.6,708.4,708.7,703.6,678.7,675.2,660.9,566.5,605.8,588.7,554.9,557.9,554.3,513.8,483.8,470.9,7.30%
,CH4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,+%
,N2O,7.5,7.4,7.6,7.7,8,7.9,8,8.1,8.2,8.1,8.4,7.9,8,8.6,8.8,8.9,8.7,8.5,8.4,7.4,8.1,7.9,7.3,7.9,7.9,7.2,7,6.8,0.10%
