Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Passenger Cars,639.6,598.4,607.7,615.7,625.2,629.9,643.5,647.2,669.2,682.9,681.2,687.9,701.1,679.6,675.9,693.8,668.5,824.5,783.2,775.2,766,757.2,751.2,747,761.8,762,772.6,770.7
,CO2,612.2,571.6,579.2,584.4,589.4,589.8,598.6,597.7,617.2,630.7,627.5,632.8,646.7,626.5,623.9,643.3,619.6,773,733.9,728.2,722.3,717.6,716.7,717.2,734.8,736.9,749.9,750.6
,CH4,3.2,2.9,2.8,2.7,2.7,2.7,2.6,2.5,2.4,2.2,2,1.8,1.7,1.5,1.4,1.3,1.1,1.3,1.2,1.1,1,1,0.9,0.8,0.7,0.6,0.6,0.5
,N2O,24.1,23.8,24.5,24.9,25.7,26.3,26.6,26.7,26.7,24.6,23.7,22.5,21.3,20,18.9,17.6,16.1,18.7,16.9,16,15.2,14.6,13.1,11.8,10.5,9.7,8.9,8.2
,HFCs,0,0,1.2,3.6,7.5,11.2,15.7,20.3,22.9,25.5,28,30.7,31.5,31.6,31.9,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.2,15.8,14.7,13.2,11.4
,Light-Duty Trucks,326.7,354.9,380.8,395.4,407.6,425.2,444.8,463.6,478.3,500.8,503.3,509.4,522.1,557.1,577.7,540.2,552.4,359.3,340,343.9,340.8,324.1,317.9,315.1,335.5,324.5,333.8,327.3
,CO2,312.2,337.9,361.7,373.3,381.5,395,410,423.7,434.9,454.9,455,459.8,472.1,506.8,527.7,491.1,503.5,317,297.6,301.5,299.8,286.1,283.2,283.6,306.2,297.5,309.1,304.8
,CH4,1.7,1.9,1.9,2,1.9,1.8,1.8,1.7,1.6,1.3,1.2,1.1,1,1,0.9,0.8,0.8,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2
,N2O,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.6,22.1,21.6,20.1,19.1,18.2,16.7,15,14.2,7.4,7,6.8,6.5,6,5.3,4.7,4.4,3.8,3.5,3.1
,HFCs,0,0,0,1.4,4.6,7.8,11.7,15.8,19.2,22.6,25.6,28.4,29.8,31.1,32.4,33.3,34,34.5,35.1,35.2,34.1,31.6,29.2,26.5,24.7,23,21.1,19.2
,Medium- and Heavy-Duty Trucks,230.3,225.5,235.7,248.2,265,275.7,287.9,302.2,315.7,333.6,348.3,347.2,361.2,358.1,369.4,400.1,409.2,433.3,415.9,377.7,390.2,388.6,388.7,395.2,407.6,415.5,423.6,436.5
,CO2,229.3,224.5,234.6,247,263.5,273.9,285.8,299.9,313,330.5,344.9,343.5,357.3,353.9,364.9,395.4,404.3,427.7,410.1,371.9,384.3,382.7,382.6,389,401.4,409.1,417.2,430
,CH4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.1,1.5,1.4,1.3,1.2,1.1,1,0.9,0.9,0.8,0.8,0.8
,HFCs,0,0,0,0.1,0.3,0.6,0.8,1.1,1.4,1.7,2,2.3,2.5,2.8,3.1,3.4,3.7,4,4.2,4.4,4.7,4.8,5,5.2,5.3,5.5,5.5,5.7
,Buses,8.5,7.8,8.1,8.8,9.3,9.2,9.6,9.8,10.1,11.3,11,10.2,9.9,10.7,15.1,12.2,12.4,17.8,17.3,16.2,15.9,16.7,17.8,17.9,19.3,19.8,19.5,20.4
,CO2,8.4,7.8,8.1,8.8,9.3,9.2,9.5,9.7,9.9,11.1,10.8,9.9,9.5,10.3,14.6,11.6,11.8,17.1,16.6,15.4,15.1,16,17.1,17.2,18.6,19.1,18.8,19.7
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
,N2O,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,HFCs,0,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Motorcycles,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.8,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.5,4,3.9,3.8,3.7,3.9,3.8
,CO2,1.7,1.6,1.7,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.6,1.7,1.6,1.8,4.1,4.2,4,3.6,3.5,4,3.8,3.8,3.7,3.8,3.7
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Commercial Aircrafta,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124,120.8,131.6,140.6,125.8,122.4,124,126,134,138.3,141,128.4,120.6,114.4,115.7,114.3,115.4,116.3,120.1,121.5,129.2
,CO2,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119,120.4,128
,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,N2O,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.1,1,1.1,1,1.1,1.1,1.1,1.1,1.2
,Other Aircraftb,78.3,69.1,64.6,62.8,65.3,60.3,69.2,65,71.8,65.5,58.8,68.2,67,59,64.6,59.7,48.1,42.4,48.2,36.8,40.4,34.2,32.1,34.7,35,40.4,47.5,45.6
,CO2,77.5,68.4,64,62.1,64.6,59.7,68.6,64.3,71.1,64.8,58.2,67.5,66.3,58.5,64,59.1,47.6,42,47.8,36.4,40.1,33.9,31.8,34.4,34.7,40,47,45.2
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4
,Ships and Boatsc,47.4,42.2,57.7,54.3,55.9,59.3,56.3,42.8,36.1,45.1,66,43.1,47.9,37.8,40.5,45.7,48.7,55.5,45.9,39.3,45.2,46.8,40.6,40.1,29.4,34.1,41.3,44.4
,CO2,46.3,41.1,56.4,53.1,54.6,58,55,41.6,35.1,43.9,64.4,41.8,46.5,36.5,39.1,44.2,47.1,53.7,44.1,37.5,43,44.4,38,37.2,26.4,30.8,37.5,40.3
,CH4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,N2O,0.6,0.5,0.7,0.7,0.7,0.7,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.3,0.4,0.5,0.5
,HFCs,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2,2.3,2.6,2.9,3.3
,Rail,39,36.8,37.8,38.8,41.7,43.1,43.9,44.1,44.4,46,46.1,46.4,46,47.7,50.3,50.9,52.9,52,48.2,41,43.7,45.3,44,44.8,46.3,44.2,40.8,41.9
,CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.5,43.9,45.5,45.5,45.8,45.3,47.1,49.7,50.3,52.2,51.3,47.6,40.4,43.1,44.7,43.4,44.2,45.7,43.6,40.2,41.2
