"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,NOx,"21,745","21,418","21,504","21,556","21,678","21,225","21,175","20,982","20,721","19,536","19,330","18,286","20,512","19,326","18,204","17,336","16,484","15,597","14,472","13,440","12,581","12,417","11,982","11,345","10,808","10,293","9,608","9,126"
,Mobile Fossil Fuel Combustion,"10,862","10,795","10,728","10,662","10,598","10,536","10,475","10,528","10,385","10,183","10,199","9,696","12,485","11,755","11,025","10,295","9,740","9,186","8,523","7,797","7,290","7,294","6,909","6,523","6,138","5,740","5,413","5,051"
,Stationary Fossil Fuel Combustion,"10,023","9,834","9,934","10,084","10,137","9,862","9,708","9,534","9,369","8,390","8,053","7,623","6,825","6,401","5,973","5,858","5,511","5,163","4,780","4,452","4,092","3,807","3,647","3,487","3,319","3,042","2,882","2,761"
,Oil and Gas Activities,139,110,134,112,106,100,126,130,130,109,111,113,321,324,322,321,344,368,391,468,545,622,631,641,650,650,650,650
,Industrial Processes and Product Use,592,551,564,565,596,610,600,631,640,598,629,659,539,551,562,572,554,535,514,493,472,452,440,427,414,414,414,414
,Forest Fires,37,35,46,12,116,15,91,9,37,78,191,59,223,165,191,133,159,204,153,117,83,109,226,157,155,321,124,124
,Waste Combustion,82,85,86,107,100,88,135,139,145,143,114,114,98,108,118,128,114,100,85,81,77,73,81,89,97,97,97,97
,Grassland Fires,5,5,9,7,18,10,31,5,9,29,29,15,13,13,5,21,55,35,17,25,12,54,39,13,27,21,19,21
,Agricultural Burning,4,3,2,3,3,3,5,3,3,4,3,4,6,8,5,6,5,5,6,6,8,6,7,6,6,6,6,6
,Waste,+ ,1,1,5,4,1,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2
,CO,"131,277","127,044","123,359","117,450","116,880","109,132","107,082","100,742","99,643","96,856","99,362","90,894","84,053","78,956","76,652","71,783","69,007","65,986","58,966","50,883","49,805","50,245","52,945","48,720","47,613","52,447","43,039","41,382"
,Mobile Fossil Fuel Combustion,"119,360","115,015","110,669","106,323","101,977","97,630","93,283","90,161","87,823","83,382","83,559","79,851","67,235","64,362","61,488","58,615","54,712","50,809","46,217","39,256","39,475","38,305","36,915","35,525","34,135","33,159","30,786","29,112"
