Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"5,121,179","5,071,564","5,174,671","5,281,387","5,375,034","5,436,698","5,625,042","5,701,921","5,749,893","5,829,520","5,997,299","5,899,855","5,942,421","5,991,191","6,105,444","6,130,552","6,050,385","6,127,888","5,928,256","5,493,548","5,700,108","5,572,585","5,371,777","5,522,908","5,572,106","5,422,966","5,306,662","5,270,749"
,Fossil Fuel Combustion,"4,738,756","4,689,377","4,792,360","4,910,659","4,985,975","5,037,555","5,230,333","5,293,913","5,330,448","5,397,762","5,590,168","5,521,370","5,558,284","5,618,752","5,707,128","5,744,754","5,657,845","5,749,441","5,561,517","5,190,966","5,358,456","5,228,373","5,026,660","5,157,391","5,199,345","5,047,107","4,961,876","4,911,962"
,Transportation,"1,469,090","1,422,471","1,477,760","1,508,718","1,553,756","1,580,487","1,627,155","1,643,288","1,678,611","1,746,020","1,779,393","1,758,432","1,799,858","1,792,527","1,837,151","1,856,999","1,852,742","1,854,881","1,760,238","1,687,500","1,697,384","1,677,213","1,666,543","1,682,675","1,721,581","1,733,961","1,779,031","1,800,567"
,Electric Power Sector,"1,819,951","1,817,359","1,830,688","1,906,172","1,930,468","1,947,173","2,020,243","2,087,520","2,176,555","2,189,666","2,296,031","2,257,085","2,272,138","2,303,560","2,334,993","2,399,974","2,344,352","2,411,111","2,359,311","2,145,331","2,258,619","2,158,055","2,023,246","2,038,258","2,037,148","1,900,624","1,808,863","1,732,025"
,Industrial,"857,463","839,954","871,016","873,082","882,437","894,915","930,172","927,537","890,561","856,669","872,092","867,969","854,776","854,016","878,111","853,423","877,734","871,462","825,741","750,150","800,281","801,005","810,395","840,023","819,556","807,876","807,599","810,651"
,Residential,"338,170","347,238","353,537","365,603","356,851","352,890","383,137","364,749","331,355","350,650","370,872","362,227","360,285","379,261","367,502","357,893","321,319","341,404","347,744","336,512","334,886","326,334","282,399","329,328","346,835","317,816","292,885","294,463"
,Commercial,"226,528","230,967","226,224","222,878","224,730","227,804","237,558","237,842","220,167","220,785","236,251","228,195","228,802","239,820","237,360","226,755","211,818","223,544","227,867","228,399","224,865","224,902","200,550","224,643","232,864","245,462","232,137","232,892"
,U.S. Territories,"27,555","31,388","33,135","34,206","37,732","34,286","32,069","32,978","33,199","33,972","35,528","47,462","42,425","49,568","52,011","49,710","49,879","47,039","40,615","43,074","42,421","40,862","43,527","42,463","41,361","41,367","41,362","41,363"
,Non-Energy Use of Fuels,"119,551","129,657","125,751","116,223","125,415","128,263","123,763","132,346","149,685","162,953","140,177","132,564","136,326","129,927","148,132","139,625","140,880","123,413","125,895","106,667","114,159","109,600","108,751","123,476","119,895","126,939","113,719","123,221"
,Iron and Steel Production & Metallurgical Coke Production,"101,630","92,242","93,132","89,148","91,996","95,765","93,829","95,186","88,887","86,778","88,299","77,758","73,889","70,723","70,353","68,210","70,938","72,713","68,172","43,845","56,874","61,242","55,600","53,471","58,353","47,825","42,309","41,782"
,Cement Production,"33,484","32,736","32,993","34,838","36,310","37,075","37,309","38,561","39,461","40,239","41,445","41,613","43,164","43,349","45,886","46,194","46,851","45,509","41,416","29,615","31,449","32,208","35,270","36,369","39,439","39,907","39,439","40,324"
,Petrochemical Production,"21,222","22,623","23,222","24,168","26,098","27,446","28,568","29,944","30,292","31,695","30,971","27,096","28,113","27,904","30,054","26,810","27,020","27,456","24,196","23,238","27,262","26,338","26,501","26,395","26,496","28,062","28,110","28,225"
,Natural Gas Systems,"30,048","29,033","28,776","28,485","28,297","26,252","24,423","24,217","22,011","22,641","22,817","22,499","22,984","22,482","22,552","22,638","22,981","23,076","23,602","22,579","22,870","24,420","23,463","25,148","25,518","25,071","25,488","26,327"
,Petroleum Systems,"8,950","9,210","9,231","9,343","9,497","9,750","10,128","10,569","10,605","10,218","10,483","10,615","10,668","10,953","11,230","11,552","11,822","12,102","12,837","13,088","14,808","17,237","21,144","25,130","29,597","31,672","22,200","23,336"
,Ammonia Production,"13,047","13,279","13,683","13,205","14,151","13,541","13,836","14,028","14,143","12,948","12,172","9,233","10,499","8,817","9,568","9,196","8,781","9,074","8,414","8,454","9,188","8,229","8,949","9,480","9,377","10,634","10,838","13,216"
,Lime Production,"11,700","11,539","11,927","12,279","12,736","13,538","14,242","14,498","14,792","14,425","14,282","13,722","13,169","13,907","14,613","14,552","15,243","14,721","14,505","11,411","13,381","13,982","13,785","14,028","14,210","13,342","12,942","13,145"
,Incineration of Waste,"7,950","7,959","9,483","9,751","10,833","11,261","11,861","11,848","10,822","11,001","11,106","11,391","11,828","12,099","12,375","12,469","12,528","12,733","11,892","11,318","11,055","10,533","10,358","10,333","10,429","10,742","10,765","10,790"
,Other Process Uses of Carbonates,"6,297","5,675","5,619","5,234","5,636","7,552","8,174","7,765","8,085","8,887","6,007","6,033","6,489","5,054","6,900","7,644","8,560","8,626","7,112","8,681","10,709","10,440","9,119","11,524","12,954","12,182","10,969","10,139"
,Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,515","4,728","4,877","5,051"
,Urea Consumption for Non-Agricultural Purposes,"3,784","3,501","3,863","4,568","4,268","4,255","3,859","3,931","4,844","4,650","4,231","4,072","3,700","3,558","3,673","3,653","3,519","4,944","4,065","3,427","4,730","5,093","4,820","4,556","1,807","4,578","5,132","4,958"
,Carbon Dioxide Consumption,"1,472","1,469","1,463","1,470","1,476","1,477","1,486","1,484","1,481","1,479","1,478",894,"1,047","1,365","1,259","1,375","1,758","1,922","1,834","1,795","4,425","4,083","4,019","4,188","4,471","4,471","4,471","4,471"
,Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,907","3,609","3,737","3,206","3,182"
,Ferroalloy Production,"2,152","1,929","1,957","1,904","2,021","2,036","2,133","2,226","2,218","2,185","1,893","1,459","1,349","1,305","1,419","1,392","1,505","1,552","1,599","1,469","1,663","1,735","1,903","1,785","1,914","1,960","1,796","1,975"
,Soda Ash Production,"1,431","1,431","1,451","1,412","1,422","1,607","1,587","1,665","1,607","1,548","1,529","1,500","1,470","1,509","1,607","1,655","1,626","1,675","1,733","1,470","1,548","1,607","1,665","1,694","1,685","1,714","1,723","1,753"
,Titanium Dioxide Production,"1,195","1,211","1,392","1,416","1,526","1,526","1,514","1,677","1,662","1,693","1,752","1,697","1,824","1,839","2,064","1,755","1,836","1,930","1,809","1,648","1,769","1,729","1,528","1,715","1,688","1,635","1,662","1,688"
,Glass Production,"1,535","1,439","1,540","1,626","1,735","1,823","1,677","1,618","1,543","1,357","1,686","1,386","1,741","1,623","1,642","1,928","2,050","1,536","1,523","1,045","1,481","1,299","1,248","1,317","1,336","1,299","1,249","1,315"
,Aluminum Production,"6,831","6,945","6,804","6,211","5,539","5,659","5,987","6,019","6,191","6,286","6,086","4,382","4,491","4,502","4,231","4,142","3,801","4,251","4,477","3,009","2,722","3,292","3,439","3,255","2,833","2,767","1,334","1,205"
