Table 2-4:  Emissions from Energy (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,4905.3,4865.2,4965.6,5074.5,5160,5213.1,5400.5,5472.9,5523.6,5604.6,5774.8,5698.4,5740.1,5794.2,5901.4,5931,5846.1,5920.8,5735.7,5344.6,5521.4,5390.2,5190.4,5341.5,5384.8,5241.5,5134.1,5095.6
,Fossil Fuel Combustion,4738.8,4689.4,4792.4,4910.7,4986,5037.6,5230.3,5293.9,5330.4,5397.8,5590.2,5521.4,5558.3,5618.8,5707.1,5744.8,5657.8,5749.4,5561.5,5191,5358.5,5228.4,5026.7,5157.4,5199.3,5047.1,4961.9,4912
,Transportation,1469.1,1422.5,1477.8,1508.7,1553.8,1580.5,1627.2,1643.3,1678.6,1746,1779.4,1758.4,1799.9,1792.5,1837.2,1857,1852.7,1854.9,1760.2,1687.5,1697.4,1677.2,1666.5,1682.7,1721.6,1734,1779,1800.6
,Electricity Generation,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296,2257.1,2272.1,2303.6,2335,2400,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.2,2038.3,2037.1,1900.6,1808.9,1732
,Industrial,857.5,840,871,873.1,882.4,894.9,930.2,927.5,890.6,856.7,872.1,868,854.8,854,878.1,853.4,877.7,871.5,825.7,750.1,800.3,801,810.4,840,819.6,807.9,807.6,810.7
,Residential,338.2,347.2,353.5,365.6,356.9,352.9,383.1,364.7,331.4,350.6,370.9,362.2,360.3,379.3,367.5,357.9,321.3,341.4,347.7,336.5,334.9,326.3,282.4,329.3,346.8,317.8,292.9,294.5
,Commercial,226.5,231,226.2,222.9,224.7,227.8,237.6,237.8,220.2,220.8,236.3,228.2,228.8,239.8,237.4,226.8,211.8,223.5,227.9,228.4,224.9,224.9,200.6,224.6,232.9,245.5,232.1,232.9
,U.S. Territories,27.6,31.4,33.1,34.2,37.7,34.3,32.1,33,33.2,34,35.5,47.5,42.4,49.6,52,49.7,49.9,47,40.6,43.1,42.4,40.9,43.5,42.5,41.4,41.4,41.4,41.4
,Non-Energy Use of Fuels,119.6,129.7,125.8,116.2,125.4,128.3,123.8,132.3,149.7,163,140.2,132.6,136.3,129.9,148.1,139.6,140.9,123.4,125.9,106.7,114.2,109.6,108.8,123.5,119.9,126.9,113.7,123.2
,Natural Gas Systems,30,29,28.8,28.5,28.3,26.3,24.4,24.2,22,22.6,22.8,22.5,23,22.5,22.6,22.6,23,23.1,23.6,22.6,22.9,24.4,23.5,25.1,25.5,25.1,25.5,26.3
,Petroleum Systems,9,9.2,9.2,9.3,9.5,9.7,10.1,10.6,10.6,10.2,10.5,10.6,10.7,11,11.2,11.6,11.8,12.1,12.8,13.1,14.8,17.2,21.1,25.1,29.6,31.7,22.2,23.3
,Incineration of Waste,8,8,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11.1,10.5,10.4,10.3,10.4,10.7,10.8,10.8
