Table 2-5:  CO2 Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Transportation,1472.1,1425.5,1480.7,1511.7,1556.9,1583.5,1630.2,1646.4,1681.8,1749.2,1782.8,1762.1,1803.3,1796.8,1841.7,1861.7,1857.3,1859.9,1764.9,1692,1701.9,1681.5,1670.5,1686.9,1726,1738.2,1783.2,1804.9
,Combustion,1469.1,1422.5,1477.8,1508.7,1553.8,1580.5,1627.2,1643.3,1678.6,1746,1779.4,1758.4,1799.9,1792.5,1837.2,1857,1852.7,1854.9,1760.2,1687.5,1697.4,1677.2,1666.5,1682.7,1721.6,1734,1779,1800.6
,Electricity,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4,4.3,4.5,4.3,4.2,4.3
,Industrial,1543.9,1514.1,1570.2,1582.3,1605.7,1610.9,1666.7,1682.7,1660.8,1629.7,1661.5,1603.6,1578.3,1596.7,1623.6,1589.7,1589.1,1586.4,1522.5,1351.8,1441.3,1425.8,1403.5,1434.8,1412.5,1357.4,1325.2,1315.1
,Combustion,857.5,840,871,873.1,882.4,894.9,930.2,927.5,890.6,856.7,872.1,868,854.8,854,878.1,853.4,877.7,871.5,825.7,750.1,800.3,801,810.4,840,819.6,807.9,807.6,810.7
,Electricity,686.4,674.2,699.2,709.2,723.3,716,736.5,755.2,770.2,773,789.5,735.6,723.5,742.7,745.4,736.3,711.4,714.9,696.7,601.7,641,624.8,593.1,594.8,593,549.5,517.6,504.4
,Residential,930.9,948.9,944.9,997.5,988.8,994.5,1055.3,1044.9,1049.5,1070.3,1133,1124.7,1151.8,1181.8,1179.3,1213.9,1151.4,1204.3,1190.3,1122.8,1175,1117.1,1008,1064.1,1080.9,1001.6,946.3,911.5
,Combustion,338.2,347.2,353.5,365.6,356.9,352.9,383.1,364.7,331.4,350.6,370.9,362.2,360.3,379.3,367.5,357.9,321.3,341.4,347.7,336.5,334.9,326.3,282.4,329.3,346.8,317.8,292.9,294.5
,Electricity,592.7,601.6,591.4,631.9,631.9,641.6,672.1,680.2,718.2,719.6,762.1,762.5,791.6,802.5,811.8,856,830.1,862.9,842.5,786.3,840.1,790.8,725.6,734.7,734.1,683.8,653.5,617.1
,Commercial,764.3,769.5,763.3,784.9,796.9,814.4,846.1,886.9,905.2,914.6,977.2,983.6,982.4,993.9,1010.5,1029.7,1010.1,1051.8,1043.2,981.3,997.8,963.1,901.2,929.1,938.5,908.5,865.8,839.1
,Combustion,226.5,231,226.2,222.9,224.7,227.8,237.6,237.8,220.2,220.8,236.3,228.2,228.8,239.8,237.4,226.8,211.8,223.5,227.9,228.4,224.9,224.9,200.6,224.6,232.9,245.5,232.1,232.9
,Electricity,537.7,538.5,537.1,562,572.1,586.6,608.5,649.1,685,693.8,741,755.4,753.6,754,773.2,803,798.3,828.2,815.4,752.9,773,738.2,700.6,704.5,705.6,663,633.6,606.2
,U.S. Territoriesa,27.6,31.4,33.1,34.2,37.7,34.3,32.1,33,33.2,34,35.5,47.5,42.4,49.6,52,49.7,49.9,47,40.6,43.1,42.4,40.9,43.5,42.5,41.4,41.4,41.4,41.4
,Total,4738.8,4689.4,4792.4,4910.7,4986,5037.6,5230.3,5293.9,5330.4,5397.8,5590.2,5521.4,5558.3,5618.8,5707.1,5744.8,5657.8,5749.4,5561.5,5191,5358.5,5228.4,5026.7,5157.4,5199.3,5047.1,4961.9,4912
,Electric Power,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296,2257.1,2272.1,2303.6,2335,2400,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.2,2038.3,2037.1,1900.6,1808.9,1732
,"a Fuel consumption by U.S. Territories (i.e., American Samoa, Guam, Puerto Rico, U.S. Virgin Islands, Wake Island, and other U.S. Pacific Islands) is included in this report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Combustion-related emissions from electric power are allocated based on aggregate national electricity use by each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
