Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,208.8,199.0 ,202.2 ,200.5 ,208.2 ,216.6 ,217.6 ,222.1 ,218.6 ,217.5 ,215.0 ,193.6 ,193.8 ,188.7 ,196.5 ,191.7 ,196.4 ,198.9 ,183.9 ,141.7 ,170.2 ,174.4 ,171.1 ,173.1,179.2,173,164.5,166.9
,Iron and Steel Production & Metallurgical Coke Production,101.6,92.2 ,93.1 ,89.1 ,92.0 ,95.8 ,93.8 ,95.2 ,88.9 ,86.8 ,88.3 ,77.8 ,73.9 ,70.7 ,70.4 ,68.2 ,70.9 ,72.7 ,68.2 ,43.8 ,56.9 ,61.2 ,55.6 ,53.5,58.4,47.8,42.3,41.8
,Iron and Steel Production,99.1,89.9 ,91.7 ,88.7 ,89.4 ,93.2 ,92.0 ,93.8 ,86.4 ,84.3 ,86.1 ,76.9 ,71.6 ,68.3 ,68.4 ,66.2 ,69.0 ,70.6 ,65.8 ,42.9 ,54.8 ,59.8 ,55.1 ,51.6,56.3,45,41,41.2
,Metallurgical Coke Production,2.5,2.4 ,1.4 ,0.5 ,2.6 ,2.6 ,1.8 ,1.4 ,2.5 ,2.5 ,2.2 ,0.9 ,2.3 ,2.4 ,1.9 ,2.1 ,1.9 ,2.1 ,2.3 ,1.0 ,2.1 ,1.4 ,0.5 ,1.8,2,2.8,1.3,0.6
,Cement Production,33.5,32.7 ,33.0 ,34.8 ,36.3 ,37.1 ,37.3 ,38.6 ,39.5 ,40.2 ,41.4 ,41.6 ,43.2 ,43.3 ,45.9 ,46.2 ,46.9 ,45.5 ,41.4 ,29.6 ,31.4 ,32.2 ,35.3 ,36.4,39.4,39.9,39.4,40.3
,Petrochemical Production,21.2,22.6 ,23.2 ,24.2 ,26.1 ,27.4 ,28.6 ,29.9 ,30.3 ,31.7 ,31.0 ,27.1 ,28.1 ,27.9 ,30.1 ,26.8 ,27.0 ,27.5 ,24.2 ,23.2 ,27.3 ,26.3 ,26.5 ,26.4,26.5,28.1,28.1,28.2
,Ammonia Production,13,13.3 ,13.7 ,13.2 ,14.2 ,13.5 ,13.8 ,14.0 ,14.1 ,12.9 ,12.2 ,9.2 ,10.5 ,8.8 ,9.6 ,9.2 ,8.8 ,9.1 ,8.4 ,8.5 ,9.2 ,8.2 ,8.9 ,9.5,9.4,10.6,10.8,13.2
,Lime Production,11.7,11.5 ,11.9 ,12.3 ,12.7 ,13.5 ,14.2 ,14.5 ,14.8 ,14.4 ,14.3 ,13.7 ,13.2 ,13.9 ,14.6 ,14.6 ,15.2 ,14.7 ,14.5 ,11.4 ,13.4 ,14.0 ,13.8 ,14,14.2,13.3,12.9,13.1
,Other Process Uses of Carbonates,6.3,5.7 ,5.6 ,5.2 ,5.6 ,7.6 ,8.2 ,7.8 ,8.1 ,8.9 ,6.0 ,6.0 ,6.5 ,5.1 ,6.9 ,7.6 ,8.6 ,8.6 ,7.1 ,8.7 ,10.7 ,10.4 ,9.1 ,11.5,13,12.2,11,10.1
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5 ,3.9 ,4.6 ,4.3 ,4.3 ,3.9 ,3.9 ,4.8 ,4.7 ,4.2 ,4.1 ,3.7 ,3.6 ,3.7 ,3.7 ,3.5 ,4.9 ,4.1 ,3.4 ,4.7 ,5.1 ,4.8 ,4.6,1.8,4.6,5.1,5
,Carbon Dioxide Consumption,1.5,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,0.9 ,1.0 ,1.4 ,1.3 ,1.4 ,1.8 ,1.9 ,1.8 ,1.8 ,4.4 ,4.1 ,4.0 ,4.2,4.5,4.5,4.5,4.5
,Ferroalloy Production,2.2,1.9 ,2.0 ,1.9 ,2.0 ,2.0 ,2.1 ,2.2 ,2.2 ,2.2 ,1.9 ,1.5 ,1.3 ,1.3 ,1.4 ,1.4 ,1.5 ,1.6 ,1.6 ,1.5 ,1.7 ,1.7 ,1.9 ,1.8,1.9,2,1.8,2
,Soda Ash Production,1.4,1.4 ,1.5 ,1.4 ,1.4 ,1.6 ,1.6 ,1.7 ,1.6 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.6 ,1.7 ,1.6 ,1.7 ,1.7 ,1.5 ,1.5 ,1.6 ,1.7 ,1.7,1.7,1.7,1.7,1.8
,Titanium Dioxide Production,1.2,1.2 ,1.4 ,1.4 ,1.5 ,1.5 ,1.5 ,1.7 ,1.7 ,1.7 ,1.8 ,1.7 ,1.8 ,1.8 ,2.1 ,1.8 ,1.8 ,1.9 ,1.8 ,1.6 ,1.8 ,1.7 ,1.5 ,1.7,1.7,1.6,1.7,1.7
,Glass Production,1.5,1.4 ,1.5 ,1.6 ,1.7 ,1.8 ,1.7 ,1.6 ,1.5 ,1.4 ,1.7 ,1.4 ,1.7 ,1.6 ,1.6 ,1.9 ,2.1 ,1.5 ,1.5 ,1.0 ,1.5 ,1.3 ,1.2 ,1.3,1.3,1.3,1.2,1.3
,Aluminum Production,6.8,6.9 ,6.8 ,6.2 ,5.5 ,5.7 ,6.0 ,6.0 ,6.2 ,6.3 ,6.1 ,4.4 ,4.5 ,4.5 ,4.2 ,4.1 ,3.8 ,4.3 ,4.5 ,3.0 ,2.7 ,3.3 ,3.4 ,3.3,2.8,2.8,1.3,1.2
,Phosphoric Acid Production,1.5,1.4 ,1.5 ,1.3 ,1.5 ,1.5 ,1.6 ,1.5 ,1.6 ,1.5 ,1.4 ,1.3 ,1.3 ,1.4 ,1.4 ,1.3 ,1.2 ,1.2 ,1.1 ,1.0 ,1.1 ,1.2 ,1.1 ,1.1,1,1,1,1
,Zinc Production,0.6,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,0.9 ,0.9 ,0.9 ,0.7 ,0.7 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,1.2 ,0.9 ,1.2 ,1.3 ,1.5 ,1.4,1,0.9,0.9,1
