Table 2-9:  Emissions from Waste (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CH4,195.2,197.7 ,197.7 ,195.7 ,195.8 ,191.0 ,187.4 ,178.2 ,168.6 ,162.1 ,158.9 ,154.0 ,152.1 ,154.7 ,152.1 ,148.7 ,146.5 ,144.5 ,142.5 ,140.0 ,140.8 ,132.0 ,133.0 ,129.3 ,128.9 ,127.8 ,124.3 ,124.1 
,Landfills,179.6,181.7 ,181.4 ,179.2 ,179.0 ,174.2 ,170.6 ,161.1 ,151.4 ,144.7 ,141.4 ,136.8 ,134.9 ,137.4 ,134.9 ,131.4 ,129.3 ,127.2 ,125.1 ,123.0 ,124.1 ,115.4 ,116.6 ,112.9 ,112.5 ,111.2 ,108.0 ,107.7 
,Wastewater Treatment,15.3,15.5 ,15.8 ,15.9 ,16.1 ,15.9 ,15.9 ,16.0 ,16.0 ,16.1 ,16.0 ,15.7 ,15.7 ,15.5 ,15.4 ,15.4 ,15.4 ,15.4 ,15.4 ,15.1 ,14.9 ,14.7 ,14.5 ,14.3 ,14.3 ,14.5 ,14.2 ,14.2 
,Composting,0.4,0.4 ,0.5 ,0.6 ,0.8 ,0.9 ,1.0 ,1.1 ,1.2 ,1.3 ,1.5 ,1.5 ,1.5 ,1.7 ,1.9 ,1.9 ,1.9 ,2.0 ,2.0 ,1.9 ,1.8 ,1.9 ,1.9 ,2.0 ,2.1 ,2.1 ,2.1 ,2.2 
,N2O,3.7,3.8 ,4.0 ,4.2 ,4.4 ,4.5 ,4.7 ,4.8 ,5.0 ,5.3 ,5.5 ,5.5 ,5.6 ,5.9 ,6.1 ,6.1 ,6.2 ,6.3 ,6.3 ,6.1 ,6.2 ,6.2 ,6.4 ,6.5 ,6.6 ,6.7 ,6.8 ,6.9 
,Wastewater Treatment,3.4,3.5 ,3.5 ,3.6 ,3.7 ,3.7 ,3.8 ,3.8 ,3.9 ,4.1 ,4.1 ,4.1 ,4.2 ,4.3 ,4.4 ,4.4 ,4.5 ,4.5 ,4.5 ,4.5 ,4.5 ,4.5 ,4.6 ,4.7 ,4.8 ,4.8 ,4.9 ,5.0 
,Composting,0.3,0.4 ,0.4 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 ,1.1 ,1.2 ,1.3 ,1.3 ,1.4 ,1.5 ,1.7 ,1.7 ,1.7 ,1.8 ,1.8 ,1.7 ,1.6 ,1.7 ,1.7 ,1.8 ,1.9 ,1.9 ,1.9 ,1.9 
,Total,198.9,201.5 ,201.7 ,199.9 ,200.2 ,195.5 ,192.1 ,183.0 ,173.6 ,167.3 ,164.4 ,159.5 ,157.7 ,160.5 ,158.2 ,154.7 ,152.7 ,150.8 ,148.7 ,146.1 ,147.0 ,138.2 ,139.4 ,135.8 ,135.6 ,134.5 ,131.1 ,131.0 
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
