"Table 3-105:  CO2, CH4, and N2O Emissions from International Bunker Fuels (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Mode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,726","93,731","94,443","98,310","108,391","113,139","114,116","115,345","114,342","106,410","116,992","111,660","105,805","99,763","103,400","110,887","116,594","120,107"
,Aviation,"38,034","46,339","46,769","46,890","48,342","49,903","51,029","54,485","54,080","57,557","62,029","56,385","54,626","55,196","56,239","60,125","60,284","61,489","56,146","52,785","60,967","64,790","64,524","65,664","69,609","71,942","74,059","77,696"
,Marine,"65,429","71,230","61,094","50,939","48,347","48,589","48,721","52,476","56,410","45,176","39,697","37,347","39,817","43,114","52,152","53,014","53,832","53,856","58,196","53,625","56,025","46,870","41,281","34,099","33,791","38,946","42,535","42,412"
,CH4,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,3,4,4
,Aviationa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marine,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,3,4,4
,N2O,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Aviation,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,Marine,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,a CH4 emissions from aviation are estimated to be zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Includes aircraft cruise altitude emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
