Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013a,2014a,2015a,2016a,2017a
Gasolineb,958.9,944.6 ,973.7 ,987.2 ,999.7 ,"1,013.1 ","1,036.5 ","1,048.8 ","1,079.4 ","1,113.0 ","1,110.1 ","1,118.4 ","1,143.7 ","1,147.4 ","1,164.1 ","1,153.60","1,141.9 ","1,134.8 ","1,077.6 ","1,072.0 ","1,062.9 ","1,039.8 ","1,036.1 ","1,037.40","1,077.40","1,070.00","1,095.30","1,092.30"
Passenger Cars,604.3,564.7 ,571.9 ,576.1 ,580.8 ,581.9 ,591.8 ,591.7 ,611.6 ,626.3 ,623.9 ,629.1 ,642.9 ,622.3 ,619.5 ,639.1,615.4 ,768.9 ,730.1 ,724.6 ,718.6 ,713.5 ,712.5 ,712.9,730.2,732,744.9,745.3
Light-Duty Trucks,300.6,326.4 ,349.0 ,359.6 ,367.2 ,380.0 ,394.2 ,407.3 ,417.5 ,435.8 ,434.8 ,438.9 ,450.1 ,479.4 ,498.5 ,464.9,476.4 ,303.1 ,285.1 ,289.0 ,287.2 ,273.0 ,270.2 ,270.6,292.2,283.5,294.6,290.3
Medium- and Heavy-Duty Trucksc,37.7,37.3 ,36.5 ,35.2 ,35.3 ,34.9 ,34.1 ,33.4 ,33.9 ,34.4 ,35.1 ,34.2 ,34.7 ,29.8 ,30.1 ,33.9,34.4 ,44.8 ,45.0 ,41.4 ,41.2 ,37.8 ,37.7 ,38.5,39.8,39.3,40.4,41.3
Buses,0.3,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4,0.4 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.8 ,0.8,0.9,0.9,0.9,0.9
Motorcycles,1.7,1.6 ,1.7 ,1.7 ,1.8 ,1.7 ,1.7 ,1.7 ,1.8 ,1.8 ,1.8 ,1.7 ,1.6 ,1.6 ,1.7 ,1.6,1.8 ,4.1 ,4.2 ,4.0 ,3.6 ,3.5 ,4.0 ,3.8,3.8,3.7,3.8,3.7
Recreational Boatsd,14.3,14.3 ,14.4 ,14.2 ,14.2 ,14.2 ,14.3 ,14.3 ,14.3 ,14.3 ,14.2 ,14.2 ,14.2 ,14.0 ,13.8 ,13.8,13.5 ,13.2 ,12.5 ,12.3 ,11.7 ,11.3 ,11.0 ,10.8,10.6,10.6,10.7,10.7
Distillate Fuel Oil (Diesel)b,262.9,266.2 ,281.9 ,298.5 ,318.3 ,323.9 ,348.3 ,364.1 ,377.8 ,396.4 ,402.1 ,405.6 ,419.5 ,429.6 ,447.7 ,457.5,468.5 ,472.9 ,448.1 ,405.9 ,422.0 ,430.0 ,427.5 ,433.9,447.7,460.7,462.7,475.8
Passenger Cars,7.9,7.0 ,7.3 ,8.3 ,8.5 ,7.8 ,6.7 ,6.1 ,5.6 ,4.4 ,3.6 ,3.7 ,3.7 ,4.2 ,4.3 ,4.2,4.1 ,4.1 ,3.7 ,3.6 ,3.7 ,4.1 ,4.1 ,4.1,4.1,4.3,4.3,4.4
Light-Duty Trucks,11.5,11.4 ,12.6 ,13.5 ,14.0 ,14.9 ,15.7 ,16.3 ,17.2 ,18.9 ,20.1 ,20.8 ,21.9 ,27.2 ,28.9 ,25.8,26.7 ,13.5 ,12.0 ,12.0 ,12.5 ,13.0 ,12.9 ,12.9,13.9,13.9,14.3,14.3
Medium- and Heavy-Duty Trucksc,190.5,186.1 ,197.2 ,210.8 ,226.5 ,238.2 ,251.0 ,265.7 ,278.2 ,295.4 ,309.2 ,308.7 ,321.9 ,323.2 ,334.0 ,360.2,368.8 ,382.1 ,363.6 ,329.5 ,342.7 ,344.4 ,344.4 ,350,361.2,369.4,376.4,388.3
Buses,8,7.4 ,7.7 ,8.4 ,8.8 ,8.7 ,9.1 ,9.2 ,9.4 ,10.6 ,10.2 ,9.3 ,8.8 ,9.5 ,13.5 ,10.6,10.6 ,15.5 ,14.6 ,13.6 ,13.5 ,14.4 ,15.4 ,15.5,16.9,17.3,17,17.9
Rail,35.5,33.4 ,34.4 ,35.3 ,38.1 ,39.6 ,40.3 ,40.4 ,40.7 ,42.2 ,42.1 ,42.2 ,41.9 ,42.8 ,45.1 ,45.5,47.7 ,46.2 ,42.9 ,35.9 ,38.6 ,40.4 ,39.5 ,40.1,41.6,39.9,36.7,37.9
Recreational Boatsd,2.7,2.7 ,2.7 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8 ,2.8,2.8 ,2.8 ,2.8 ,2.8 ,2.7 ,2.6 ,2.6 ,2.6,2.5,2.7,2.8,2.8
Ships and Non-Recreational Boatse,6.8,7.2 ,9.2 ,8.5 ,10.7 ,11.9 ,14.3 ,14.3 ,12.1 ,13.6 ,14.1 ,12.8 ,12.4 ,12.3 ,8.5 ,8.4,7.9 ,8.6 ,8.5 ,8.6 ,8.3 ,11.1 ,8.6 ,8.7,7.5,13.3,11.1,10.2
International Bunker Fuelsf,11.7,11.0 ,10.8 ,10.8 ,9.0 ,9.3 ,8.4 ,9.3 ,11.7 ,8.4 ,6.3 ,5.4 ,6.1 ,7.7 ,10.6 ,9.4,8.8 ,8.2 ,9.0 ,8.2 ,9.5 ,7.9 ,6.8 ,5.6,6.1,8.4,8.7,9
Jet Fuel,184.2,215.2 ,213.4 ,215.1 ,223.9 ,172.2 ,235.6 ,238.9 ,242.4 ,250.0 ,195.0 ,246.1 ,239.9 ,234.5 ,242.9 ,189.3,182.3 ,179.5 ,173.0 ,154.1 ,151.5 ,146.6 ,143.4 ,147.1,148.4,157.6,166,171.8
