Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gasoline On-Roadb,5.2,5.1 ,5.0 ,5.0 ,4.9 ,4.7 ,4.6 ,4.4 ,4.2 ,3.6 ,3.4 ,3.1 ,2.8 ,2.6 ,2.4 ,2.2,2.0 ,1.8 ,1.7 ,1.6 ,1.5 ,1.4 ,1.3 ,1.1,1,0.9,0.9,0.8
Passenger Cars,3.2,2.9 ,2.8 ,2.7 ,2.7 ,2.7 ,2.6 ,2.5 ,2.4 ,2.2 ,2.0 ,1.8 ,1.7 ,1.5 ,1.4 ,1.3,1.1 ,1.3 ,1.2 ,1.1 ,1.0 ,1.0 ,0.9 ,0.8,0.7,0.6,0.6,0.5
Light-Duty Trucks,1.7,1.9 ,1.9 ,2.0 ,1.9 ,1.8 ,1.8 ,1.7 ,1.6 ,1.3 ,1.2 ,1.1 ,1.0 ,1.0 ,0.9 ,0.8,0.8 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3,0.2,0.2,0.2,0.2
Medium- and Heavy-Duty Trucks and Buses,0.3,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,+,+,+,+
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Diesel On-Roadb,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Medium- and Heavy-Duty Trucks and Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Alternative Fuel On-Road,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2,0.2,0.2,0.2,0.2
Non-Roadc,7.7,7.7 ,7.7 ,7.5 ,7.6 ,7.6 ,7.6 ,7.6 ,7.5 ,7.3 ,7.4 ,7.9 ,8.0 ,8.1 ,7.6 ,7.2,6.9 ,6.1 ,5.2 ,4.6 ,4.3 ,3.9 ,3.4 ,3.1,2.8,2.4,2.3,2.2
