Table 3-16:  Carbon Intensity from Direct Fossil Fuel Combustion by Sector (MMT CO2 Eq./QBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Residentiala,57.4,57.2 ,57.1 ,56.8 ,56.8 ,56.6 ,56.6 ,56.6 ,56.5 ,56.6 ,56.7 ,56.9 ,56.6 ,56.7 ,56.9 ,56.6,56.5 ,56.3 ,56.0 ,55.9 ,55.9 ,55.8 ,55.6 ,55.3,55.4,55.5,55.1,55
,Commerciala,59.6,59.2 ,58.7 ,58.3 ,58.2 ,57.8 ,57.8 ,57.6 ,57.3 ,57.2 ,57.4 ,57.6 ,57.2 ,57.5 ,57.7 ,57.7,57.4 ,57.3 ,56.9 ,57.2 ,57.1 ,56.8 ,56.3 ,56,55.7,57.2,56.8,56.6
,Industriala,64.4,64.1 ,63.9 ,63.8 ,63.8 ,63.3 ,63.2 ,63.2 ,63.3 ,63.3 ,63.0 ,63.9 ,63.5 ,63.8 ,63.9 ,64.5,64.7 ,64.3 ,63.7 ,63.2 ,63.1 ,62.7 ,62.3 ,62,61.5,61.2,60.8,60.5
,Transportationa,71.1,71.2 ,71.4 ,71.2 ,71.0 ,71.0 ,71.2 ,71.1 ,71.3 ,71.2 ,71.3 ,71.3 ,71.3 ,71.3 ,71.4 ,71.4,71.7 ,71.9 ,71.6 ,71.5 ,71.5 ,71.5 ,71.5 ,71.4,71.5,71.5,71.5,71.5
,Electric Powerb,87.3,87.3 ,87.3 ,87.2 ,86.6 ,86.5 ,87.4 ,87.1 ,86.4 ,86.2 ,86.1 ,85.7 ,85.7 ,86.5 ,86.2 ,85.8,85.3 ,84.7 ,84.9 ,83.7 ,83.6 ,82.9 ,79.9 ,81.3,81.2,78.1,76.8,77.3
,U.S. Territoriesc,73,73.0 ,73.3 ,73.5 ,73.3 ,73.1 ,73.1 ,73.2 ,73.3 ,73.1 ,72.5 ,72.5 ,72.5 ,73.1 ,73.5 ,73.5,73.5 ,73.5 ,73.4 ,73.1 ,73.1 ,72.9 ,72.2 ,71.9,72.3,72.2,72.2,72.2
,All Sectorsc,73,72.9 ,72.8 ,72.8 ,72.6 ,72.4 ,72.6 ,72.8 ,73.0 ,73.0 ,73.0 ,73.1 ,73.0 ,73.3 ,73.3 ,73.5,73.5 ,73.3 ,73.1 ,72.4 ,72.5 ,72.0 ,70.9 ,70.9,70.7,69.7,69.2,69.2
,a Does not include electricity or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Does not include electricity produced using nuclear or renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Does not include nuclear or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Excludes non-energy fuel use emissions and consumption. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
