Table 3-17:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Energy-Related Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq. and Percent),,,,,,
,,,,,,
,Fuel/Sector,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
,Coalb,"1,267.50","1,223.50","1,386.10",-3%,9%
,   Residential ,NE,NE,NE,NE,NE
,   Commercial ,2,1.9,2.3,-5%,15%
,   Industrial ,54.4,51.8,63,-5%,16%
,   Transportation ,NE,NE,NE,NE,NE
,   Electric Power ,"1,207.10","1,159.90","1,321.90",-4%,10%
,   U.S. Territories ,4,3.5,4.8,-12%,19%
,Natural Gasb,"1,450.30","1,433.80","1,517.10",-1%,5%
,   Residential ,241.5,234.7,258.5,-3%,7%
,   Commercial ,173.2,168.3,185.2,-3%,7%
,   Industrial ,484.7,470.3,519.6,-3%,7%
,   Transportation ,42.3,41.1,45.2,-3%,7%
,   Electric Power ,505.6,491.2,531.5,-3%,5%
,   U.S. Territories ,3,2.6,3.5,-13%,17%
,Petroleumb,"2,193.70","2,061.20","2,324.40",-6%,6%
,   Residential ,53,50.1,55.8,-6%,5%
,   Commercial ,57.7,54.4,60.8,-6%,5%
,   Industrial ,271.5,215.4,322.7,-21%,19%
,   Transportation ,"1,758.30","1,645.40","1,870.40",-6%,6%
,   Electric Power ,18.9,18,20.5,-5%,9%
,   U.S. Territories ,34.3,31.7,38,-8%,11%
,Total (excluding Geothermal)b,"4,911.60","4,805.90","5,134.70",-2%,5%
,Geothermal,0.4,NE,NE,NE,NE
,"Total (including Geothermal)b,c","4,912.00","4,806.40","5,135.30",-2%,5%
,NE (Not Estimated),,,,,
,Note: Totals may not sum due to independent rounding.,,,,,
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
,"b The low and high estimates for total emissions were calculated separately through simulations and, hence, the low and high emission estimates for the sub-source categories do not sum to total emissions.",,,,,
,"c Geothermal emissions added for reporting purposes, but an uncertainty analysis was not performed for CO2 emissions from geothermal production.",,,,,
