"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"4,905,262","4,865,242 ","4,965,608 ","5,074,468 ","5,160,024 ","5,213,088 ","5,400,514 ","5,472,899 ","5,523,578 ","5,604,581 ","5,774,757 ","5,698,446 ","5,740,095 ","5,794,220 ","5,901,423 ","5,931,045","5,846,062 ","5,920,771 ","5,735,750 ","5,344,625 ","5,521,354 ","5,390,169 ","5,190,382 ","5,341,485","5,384,792","5,241,538","5,134,056","5,095,643"
,Fossil Fuel Combustion,"4,738,756","4,689,377 ","4,792,360 ","4,910,659 ","4,985,975 ","5,037,555 ","5,230,333 ","5,293,913 ","5,330,448 ","5,397,762 ","5,590,168 ","5,521,370 ","5,558,284 ","5,618,752 ","5,707,128 ","5,744,754","5,657,845 ","5,749,441 ","5,561,517 ","5,190,966 ","5,358,456 ","5,228,373 ","5,026,660 ","5,157,391","5,199,345","5,047,107","4,961,876","4,911,962"
,Non-Energy Use of Fuels,"119,551","129,657 ","125,751 ","116,223 ","125,415 ","128,263 ","123,763 ","132,346 ","149,685 ","162,953 ","140,177 ","132,564 ","136,326 ","129,927 ","148,132 ","139,625","140,880 ","123,413 ","125,895 ","106,667 ","114,159 ","109,600 ","108,751 ","123,476","119,895","126,939","113,719","123,221"
,Natural Gas Systems,"30,048","29,033 ","28,776 ","28,485 ","28,297 ","26,252 ","24,423 ","24,217 ","22,011 ","22,641 ","22,817 ","22,499 ","22,984 ","22,482 ","22,552 ","22,638","22,981 ","23,076 ","23,602 ","22,579 ","22,870 ","24,420 ","23,463 ","25,148","25,518","25,071","25,488","26,327"
,Petroleum Systems,"8,950","9,210 ","9,231 ","9,343 ","9,497 ","9,750 ","10,128 ","10,569 ","10,605 ","10,218 ","10,483 ","10,615 ","10,668 ","10,953 ","11,230 ","11,552","11,822 ","12,102 ","12,837 ","13,088 ","14,808 ","17,237 ","21,144 ","25,130","29,597","31,672","22,200","23,336"
,Incineration of Waste,"7,950","7,959 ","9,483 ","9,751 ","10,833 ","11,261 ","11,861 ","11,848 ","10,822 ","11,001 ","11,106 ","11,391 ","11,828 ","12,099 ","12,375 ","12,469","12,528 ","12,733 ","11,892 ","11,318 ","11,055 ","10,533 ","10,358 ","10,333","10,429","10,742","10,765","10,790"
,Abandoned Oil and Gas Wells,6,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,7 ,7 ,7 ,7 ,7 ,7 ,7,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7,7,7,7,7
,Biomass-Wooda,"215,186","215,268 ","225,041 ","219,290 ","225,012 ","229,091 ","235,726 ","228,481 ","210,392 ","213,337 ","218,088 ","193,491 ","192,830 ","193,833 ","205,086 ","206,901","202,855 ","202,317 ","199,932 ","188,632 ","215,550 ","214,922 ","208,300 ","227,340","233,762","224,730","216,293","221,432"
,International Bunker Fuelsb,"103,463","117,569 ","107,863 ","97,829 ","96,689 ","98,492 ","99,750 ","106,961 ","110,491 ","102,733 ","101,726 ","93,731 ","94,443 ","98,310 ","108,391 ","113,139","114,116 ","115,345 ","114,342 ","106,410 ","116,992 ","111,660 ","105,805 ","99,763","103,400","110,887","116,594","120,107"
,Biofuels-Ethanola,"4,227","4,897 ","5,568 ","6,507 ","7,286 ","7,816 ","5,606 ","7,099 ","7,844 ","8,155 ","9,347 ","9,840 ","11,719 ","15,975 ","20,080 ","22,943","30,985 ","38,924 ","54,739 ","62,272 ","72,647 ","72,881 ","72,827 ","74,743","76,075","78,934","81,250","82,088"
