Table 3-21:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Industry,,"4,215.80","4,296.3","4,403.5","4,338.9","4,640.7","4,666.1","4,709.6","4,903.6","5,227.6","5,467.3","5,190.1","5,007.1","5,053.9","4,855.0","5,260.3","5,110.70","5,123.0","4,962.0","4,578.4","4,281.9","4,557.2","4,453.6","4,363.9","4,607.80","4,602.90","4,764.60","4,634.60","4,797.90"
,Industrial Coking Coal,,NO,0.0,0.0,1.0,8.9,37.8,24.1,0.0,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,62.9,2.3,29.2,6.4,64.8,60.8,132.5,119.3,48.8,121.8,89.2,112.5
,Industrial Other Coal,,8.2,8.5,9.5,10.0,10.9,11.3,11.4,11.2,10.4,11.1,12.4,11.3,12.0,11.9,11.9,11.9,11.9,11.9,11.9,11.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
,Natural Gas to Chemical Plants,,281.6,275.8,294.7,305.4,328.9,348.0,364.9,378.7,408.4,396.4,385.0,387.9,366.1,318.1,275.6,260.9,228.2,222.4,226.8,219.5,297.0,295.1,291.6,296.8,323.5,321.9,308.9,306.9
,Asphalt & Road Oil,,"1,170.20","1,076.5","1,102.2","1,149.0","1,172.9","1,178.2","1,175.9","1,223.6","1,262.6","1,324.4","1,275.7","1,256.9","1,240.0","1,219.5","1,303.8","1,323.20","1,261.2","1,197.0","1,012.0",873.1,877.8,859.5,826.7,783.3,792.6,831.7,853.4,849.2
,LPG,,"1,120.50","1,279.9","1,301.2","1,247.5","1,452.9","1,503.7","1,566.4","1,573.9","1,681.3","1,756.8","1,697.5","1,628.6","1,708.6","1,588.4","1,617.0","1,610.00","1,702.4","1,659.3","1,559.9","1,663.8","1,833.9","1,865.6","1,887.2","2,062.90","2,109.80","2,157.50","2,118.90","2,186.80"
,Lubricants,,186.3,166.7,170.0,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174.0,171.9,159.0,161.0,160.2,156.1,161.2,149.6,134.5,135.9,127.4,118.3,125.1,130.7,142.1,135.1,124.6
,Pentanes Plus,,117.6,137.7,152.0,154.8,160.3,161.0,169.3,156.0,142.2,176.8,166.2,130.6,108.7,103.8,102.7,95.5,68.9,86.6,75.0,61.0,75.3,26.4,40.3,45.4,43.5,78.4,53.1,81.5
,Naphtha (<401 °F),,326.3,279.4,354.8,325.9,376.3,355.0,456.4,507.8,564.5,485.9,593.7,489.9,565.0,575.4,690.4,679.5,618.1,542.3,467.1,451.0,474.5,469.4,432.3,498.8,435.2,417.8,396.9,410.9
,Other Oil (>401 °F),,662.1,742.9,672.0,666.1,641.0,599.7,523.2,641.2,617.3,637.6,533.8,506.7,436.5,482.9,529.0,499.5,573.4,668.8,598.9,392.7,433.2,368.2,267.4,209.1,236.2,216.8,204,241.7
,Still Gas,,36.7,40.6,28.5,45.6,35.4,47.9,2.2,12.1,6.2,23.0,17.0,49.3,61.7,59.0,62.9,67.7,57.2,44.2,47.3,133.9,147.8,163.6,160.6,166.7,164.5,162.2,166.1,163.8
