"Table 3-22:  2017 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",,,,,,,,
,,,,,,,,
,,Adjusted Non-Energy Usea,Carbon Content Coefficient,Potential Carbon,Storage Factor,Carbon Stored,Carbon Emissions,Carbon Emissions
,Sector/Fuel Type,(TBtu),(MMT C/QBtu),(MMT C),,(MMT C),(MMT C),(MMT CO2 Eq.)
,Industry,"4,797.90",NA,88.6,NA,59,29.6,108.5
,Industrial Coking Coal,112.5,31,3.5,0.1,0.3,3.1,11.5
,Industrial Other Coal,10.3,26.06,0.3,0.67,0.2,0.1,0.3
,Natural Gas to       Chemical Plants,306.9,14.47,4.4,0.67,3,1.5,5.3
,Asphalt & Road Oil,849.2,20.55,17.5,1,17.4,0.1,0.3
,LPG,"2,186.80",17.06,37.3,0.67,25.1,12.2,44.8
,Lubricants,124.6,20.2,2.5,0.09,0.2,2.3,8.4
,Pentanes Plus,81.5,19.1,1.6,0.67,1,0.5,1.9
,Naphtha (<401° F),410.9,18.55,7.6,0.67,5.1,2.5,9.2
,Other Oil (>401° F),241.7,20.17,4.9,0.67,3.3,1.6,5.9
,Still Gas,163.8,17.51,2.9,0.67,1.9,0.9,3.4
,Petroleum Coke,NO,27.85,NO,0.3,NO,NO,NO
,Special Naphtha,94.9,19.74,1.9,0.67,1.3,0.6,2.2
,Distillate Fuel Oil,5.8,20.17,0.1,0.5,0.1,0.1,0.2
,Waxes,10.2,19.8,0.2,0.58,0.1,0.1,0.3
,Miscellaneous Products,198.8,20.31,4,0,0,4,14.8
,Transportation,142.3,NA,2.9,NA,0.3,2.6,9.6
,Lubricants,142.3,20.2,2.9,0.09,0.3,2.6,9.6
,U.S. Territories,77.3,NA,1.5,NA,0.2,1.4,5.1
,Lubricants,1,20.2,0,0.09,+,+,0.1
,Other Petroleum (Misc. Prod.),76.2,20,1.5,0.1,0.2,1.4,5
,Total,"5,017.50",,93,,59.4,33.6,123.2
,"+ Does not exceed 0.05 TBtu, MMT C, MMT CO2 Eq.",,,,,,,
,NA (Not Applicable),,,,,,,
,NO (Not Occurring),,,,,,,
,"a To avoid double counting, net exports have been deducted.",,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,
