Table 3-23:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Non-Energy Uses of Fossil Fuels (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2017 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
,Feedstocks,CO2,73,51.2,122.6,-30%,68%
,Asphalt,CO2,0.3,0.1,0.6,-59%,118%
,Lubricants,CO2,18,14.9,21,-18%,16%
,Waxes,CO2,0.3,0.2,0.6,-24%,93%
,Other,CO2,31.6,18.7,34.2,-41%,8%
,Total,CO2,123.2,94.3,168.5,-23%,37%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,
