Table 3-37:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Explorationa,3, 3.0 , 3.0 , 2.9 , 2.6 , 2.4 , 2.7 , 3.5 , 2.3 , 1.4 , 2.3 , 3.0 , 2.5 , 3.4 , 3.7 ,4.5, 5.7 , 6.0 , 7.1 , 3.9 , 5.4 , 7.1 , 7.6 ,6.3,5,2.1,0.5,0.4
,Production (Total),38.3, 38.1 , 36.8 , 35.6 , 35.1 , 34.7 , 34.4 , 34.1 , 33.6 , 32.8 , 32.6 , 32.3 , 32.0 , 31.7 , 31.5 ,31.4, 31.3 , 31.3 , 31.3 , 30.8 , 30.8 , 31.0 , 30.5 ,34.4,36.2,36.5,36.8,36.4
,Pneumatic Controllers,19.3, 19.4 , 18.8 , 18.4 , 18.4 , 18.3 , 18.3 , 18.2 , 18.2 , 18.1 , 18.0 , 17.9 , 17.8 , 17.7 , 17.6 ,17.5, 17.4 , 17.3 , 17.1 , 17.0 , 16.8 , 16.7 , 15.4 ,18.6,19.4,19.6,20.5,20.9
,Offshore Platforms,5.3, 5.3 , 5.2 , 5.1 , 5.1 , 5.0 , 5.0 , 4.9 , 5.0 , 4.9 , 4.8 , 4.8 , 4.8 , 4.7 , 4.6 ,4.6, 4.6 , 4.8 , 4.7 , 4.6 , 4.7 , 4.7 , 4.7 ,4.7,4.7,4.7,4.7,4.7
,Equipment Leaksb,2.2, 2.2 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.0 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 ,2.2, 2.2 , 2.2 , 2.3 , 2.3 , 2.4 , 2.4 , 2.5 ,2.6,2.7,2.7,2.6,2.5
,Gas Engines,2.1, 2.2 , 2.1 , 2.0 , 2.0 , 1.9 , 1.9 , 1.9 , 1.8 , 1.7 , 1.7 , 1.7 , 1.7 , 1.7 , 1.7 ,1.7, 1.8 , 1.8 , 1.9 , 1.8 , 1.9 , 2.0 , 2.1 ,2.2,2.3,2.3,2.2,2.2
,Chemical Injection Pumps,1.2, 1.2 , 1.2 , 1.2 , 1.2 , 1.3 , 1.3 , 1.4 , 1.4 , 1.4 , 1.5 , 1.5 , 1.6 , 1.6 , 1.7 ,1.7, 1.7 , 1.8 , 1.8 , 1.9 , 1.9 , 1.9 , 2.0 ,2.1,2.2,2.2,2.1,2
,Tanks,5.4, 5.3 , 4.8 , 4.4 , 4.0 , 3.7 , 3.5 , 3.2 , 2.9 , 2.5 , 2.3 , 2.1 , 2.0 , 1.8 , 1.6 ,1.5, 1.3 , 1.2 , 1.1 , 1.0 , 0.9 , 0.9 , 1.1 ,1.3,1.6,1.7,2.6,1.5
,Other Sources,2.6, 2.6 , 2.5 , 2.5 , 2.4 , 2.3 , 2.3 , 2.3 , 2.2 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 ,2.1, 2.2 , 2.2 , 2.3 , 2.1 , 2.2 , 2.4 , 2.7 ,2.9,3.3,3.3,2.2,2.5
,Crude Oil Transportation,0.2, 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 ,0.2,0.2,0.2,0.2,0.2
,Refining,0.6, 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.6 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 ,0.7, 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 ,0.7,0.7,0.7,0.7,0.7
,Total ,42.1, 41.9 , 40.6 , 39.3 , 38.5 , 37.8 , 37.9 , 38.4 , 36.7 , 35.0 , 35.6 , 36.2 , 35.3 , 35.9 , 36.0 ,36.7, 37.8 , 38.0 , 39.2 , 35.4 , 37.0 , 38.9 , 38.9 ,41.6,42.1,39.5,38.2,37.7
,"a Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Includes leak emissions from wellheads, separators, heaters/treaters, and headers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
