Table 3-38:  CH4 Emissions from Petroleum Systems (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Explorationa,121,121,120,115,102,96,107,140,93,56,90,122,101,135,146,181,227,238,285,155,216,283,305,254,201,84,19,14
,Production (Total) ,"1,531","1,525","1,471","1,425","1,405","1,387","1,376","1,363","1,343","1,311","1,302","1,293","1,281","1,268","1,260","1,255","1,250","1,250","1,250","1,232","1,234","1,239","1,219","1,377","1,446","1,458","1,473","1,456"
,Pneumatic Controllers,774,775,752,736,735,733,731,729,727,724,721,717,714,710,706,701,696,691,685,680,673,667,614,743,777,786,818,837
,Offshore Platforms,211,210,207,202,203,201,201,197,198,195,193,194,191,186,184,185,185,192,189,185,188,188,188,188,188,188,188,188
,Equipment Leaks,88,88,86,84,83,82,83,84,83,81,82,83,83,84,85,86,88,88,92,93,94,97,101,104,109,107,104,102
,Gas Engines,86,86,83,82,79,77,76,76,73,70,70,70,69,69,69,70,71,70,74,74,75,78,83,88,93,93,89,89
,Chemical Injection Pumps,49,50,48,47,49,51,52,54,56,58,59,61,63,64,66,68,69,71,73,75,76,78,81,84,87,86,83,82
,Tanks,218,210,194,175,162,149,139,130,117,100,93,85,79,73,66,60,54,50,46,41,38,37,45,53,63,68,102,61
,Other Sources,105,105,101,98,95,93,94,93,89,83,84,83,82,83,84,86,87,87,91,86,89,94,107,118,131,131,89,98
,Crude Oil Transportation,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8
,Refining,24,24,25,25,25,25,26,27,27,27,28,28,27,28,28,28,28,28,27,26,26,28,27,27,26,28,28,28
,Total ,"1,682","1,676","1,622","1,571","1,538","1,514","1,515","1,536","1,469","1,400","1,425","1,447","1,414","1,436","1,439","1,469","1,510","1,521","1,567","1,418","1,480","1,555","1,558","1,665","1,682","1,579","1,528","1,506"
,"a Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
