Table 3-44:  Recalculations of CO2 in Petroleum Systems (MMT CO2),,,
,"Previous Estimate Year 2016,","Current Estimate Year 2016,",Current Estimate 
,2018 Inventory,2019 Inventory,"Year 2017, 2019 Inventory"
Exploration,+,1.2,1.7
HF Oil Well Completions,+,1.2,1.6
Production ,19,17,18
Tanks,7.4,5.9,4.4
Associated Gas Venting & Flaring,9.1,8.6,10.5
Miscellaneous Flaring,2.5,2.2,2.6
HF Oil Well Workovers,+,0.2,0.3
Transportation,NE,+,+
Refining,3.7,4,3.7
Petroleum Systems Total,22.8,22.2,23.3
NE (Not Estimated),,,
+ Does not exceed 0.05 MMT CO2.,,,
