Table 3-45:  Recalculations of CH4 in Petroleum Systems (MMT CO2 Eq.),,,
,"Previous Estimate Year 2016,","Current Estimate Year 2016,",Current Estimate 
,2018 Inventory,2019 Inventory,"Year 2017, 2019 Inventory"
Exploration,2.1,0.5,0.4
HF Oil Well Completions ,2,0.4,0.3
Production ,35.4,36.8,36.4
Pneumatic Controllers,18.5,20.5,20.9
Tanks,3.2,2.6,1.5
Heaters,0.8,0.7,0.7
Chemical Injection Pumps,2,2.1,2
HF Oil Well Workovers,+,0.1,0.1
Transportation,0.2,0.2,0.2
Refining,0.9,0.7,0.7
Petroleum Systems Total,38.6,38.2,37.7
+ Does not exceed 0.05 MMT CO2.,,,
