Table 3-5:  CO2 Emissions from Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel/Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Coal,"1,717.30","1,713.5 ","1,730.5 ","1,795.9 ","1,802.7 ","1,818.0 ","1,903.0 ","1,948.4 ","1,977.2 ","1,977.3 ","2,064.4 ","2,007.3 ","2,016.2 ","2,059.0 ","2,074.0 ","2,111.20","2,075.5 ","2,104.1 ","2,071.8 ","1,833.7 ","1,927.5 ","1,813.8 ","1,593.6 ","1,654.10","1,652.40","1,424.70","1,307.50","1,267.50"
,Residential,3,2.4 ,2.5 ,2.5 ,2.0 ,1.7 ,1.6 ,1.5 ,1.1 ,1.3 ,1.1 ,1.1 ,1.2 ,1.2 ,1.1 ,0.8,0.6 ,0.7 ,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,Commercial,12,11.1 ,11.3 ,11.3 ,11.3 ,11.2 ,11.6 ,12.3 ,8.9 ,9.8 ,8.8 ,9.2 ,8.6 ,7.8 ,9.8 ,9.3,6.2 ,6.7 ,7.6 ,6.9 ,6.6 ,5.8 ,4.1 ,3.9,3.8,3,2.3,2
,Industrial,155.2,152.0 ,147.4 ,149.7 ,150.6 ,144.4 ,137.3 ,137.6 ,139.1 ,129.8 ,127.3 ,127.8 ,116.6 ,116.9 ,118.2 ,115.3,112.6 ,107.0 ,102.4 ,83.2 ,90.2 ,82.2 ,74.4 ,76,76,66.3,59.2,54.4
,Transportation,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
,Electric Power,"1,546.50","1,547.2 ","1,568.5 ","1,631.6 ","1,637.9 ","1,659.9 ","1,751.5 ","1,796.0 ","1,827.1 ","1,835.4 ","1,926.4 ","1,868.8 ","1,888.9 ","1,930.0 ","1,942.0 ","1,982.80","1,952.7 ","1,986.2 ","1,958.4 ","1,740.2 ","1,827.2 ","1,722.4 ","1,511.7 ","1,571.30","1,568.60","1,351.40","1,242.00","1,207.10"
,U.S. Territories,0.6,0.7 ,0.8 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.4 ,1.0 ,3.1 ,2.9 ,3,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,2.8,4,4,4,4
,Natural Gas,999.7,"1,022.1 ","1,055.6 ","1,083.0 ","1,107.9 ","1,156.2 ","1,177.5 ","1,183.7 ","1,160.0 ","1,164.0 ","1,219.7 ","1,170.3 ","1,208.9 ","1,177.8 ","1,183.7 ","1,167.00","1,151.8 ","1,226.9 ","1,238.7 ","1,218.1 ","1,273.9 ","1,293.7 ","1,354.3 ","1,391.90","1,420.00","1,460.20","1,471.80","1,450.30"
,Residential,237.8,247.3 ,254.6 ,268.2 ,262.9 ,262.8 ,284.0 ,270.1 ,246.1 ,256.4 ,270.8 ,259.2 ,265.1 ,276.2 ,264.2 ,262.2,237.3 ,256.4 ,265.7 ,259.1 ,258.9 ,255.1 ,225.1 ,266.4,277.7,252.7,238.4,241.5
,Commercial,142,148.1 ,152.1 ,154.9 ,157.0 ,164.2 ,171.1 ,174.3 ,163.3 ,165.2 ,172.5 ,164.2 ,170.5 ,172.9 ,169.8 ,162.9,153.8 ,163.6 ,171.2 ,169.1 ,168.0 ,170.7 ,157.0 ,179.2,189.2,175.4,170.5,173.2
,Industrial,408.5,414.8 ,430.6 ,438.2 ,439.5 ,462.6 ,478.4 ,479.1 ,467.6 ,446.7 ,459.2 ,421.4 ,429.1 ,415.9 ,419.7 ,388.6,388.2 ,398.9 ,401.5 ,378.0 ,407.9 ,418.1 ,435.3 ,452.1,467.1,464.4,474.8,484.7
,Transportation,36,32.9 ,32.2 ,34.2 ,37.6 ,38.4 ,39.1 ,41.4 ,35.3 ,35.8 ,35.7 ,34.9 ,37.1 ,33.3 ,31.9 ,33.1,33.1 ,35.2 ,36.7 ,37.9 ,38.2 ,38.9 ,41.4 ,47,40.2,39.4,40.1,42.3
