Table 3-61:  N2O National Emissions (Metric Tons N2O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Exploration,0.6, 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 ,0.6, 0.7 , 0.7 , 1.0 , 0.9 , 1.5 , 2.5 , 3.6 ,4.3,5.2,3.8,2.1,2.5
,HF Completions with Flaring,0.1, 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.5 , 0.6 , 0.5 , 0.4 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 ,0.2, 0.3 , 0.3 , 0.6 , 0.5 , 1.1 , 2.0 , 3.2 ,3.8,4.7,3.3,2,2.5
,Non-Completion Well Testing with Flaring,0.4, 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4, 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4,0.5,0.5,0.1,0.1
,Production ,14.8, 15.4 , 15.2 , 15.2 , 15.3 , 15.8 , 16.4 , 17.0 , 16.9 , 15.9 , 16.2 , 16.3 , 16.5 , 16.8 , 17.2 ,17.9, 18.3 , 18.9 , 20.3 , 21.2 , 23.6 , 27.7 , 35.9 ,43.6,53.1,58.5,42.8,42.4
,Associated Gas Flaring,14.8, 14.7 , 14.0 , 13.3 , 12.8 , 12.7 , 12.8 , 12.8 , 12.3 , 11.2 , 11.1 , 10.9 , 10.6 , 10.5 , 10.6 ,11, 11.2 , 11.3 , 12.1 , 12.5 , 14.1 , 16.5 , 21.8 ,26.3,32.1,35.5,25.9,28.2
,Storage Tanks with Flaring,NO   , 0.6 , 1.2 , 1.7 , 2.2 , 2.7 , 3.1 , 3.6 , 3.9 , 3.9 , 4.2 , 4.5 , 4.9 , 5.2 , 5.4 ,5.7, 5.9 , 6.2 , 6.7 , 7.0 , 7.6 , 8.9 , 10.8 ,12.7,15.1,16.3,12.6,9
,Misc. Production Flaring,NO , -   , -   , 0.1 , 0.3 , 0.4 , 0.5 , 0.6 , 0.7 , 0.7 , 0.8 , 0.9 , 0.9 , 1.0 , 1.1 ,1.2, 1.3 , 1.3 , 1.5 , 1.5 , 1.8 , 2.2 , 3.2 ,4.3,5.6,6.3,4,4.9
,HF Workovers with Flaring, + , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 ,+ , 0.0 , 0.0 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 ,0.2,0.3,0.3,0.4,0.4
,Crude Oil Transportation, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
,Refining,30.7, 30.4 , 30.8 , 31.1 , 31.7 , 32.0 , 32.6 , 33.5 , 34.1 , 33.9 , 34.6 , 34.6 , 34.2 , 35.0 , 35.5 ,34.8, 34.9 , 34.7 , 33.6 , 32.8 , 35.6 , 36.4 , 32.5 ,34.2,32.4,39.1,38.8,36.4
,Refinery Flares,30.7, 30.4 , 30.8 , 31.1 , 31.7 , 32.0 , 32.6 , 33.5 , 34.1 , 33.9 , 34.6 , 34.6 , 34.2 , 35.0 , 35.5 ,34.8, 34.9 , 34.7 , 33.6 , 32.8 , 35.6 , 36.4 , 32.5 ,34.2,32.4,39.1,38.8,36.4
,Total,46.1, 46.4 , 46.6 , 46.9 , 47.6 , 48.2 , 49.5 , 51.1 , 51.5 , 50.2 , 51.3 , 51.5 , 51.1 , 52.3 , 53.2 ,53.3, 53.9 , 54.3 , 55.0 , 54.9 , 60.7 , 66.6 , 72.0 ,82,90.7,101.4,83.7,81.3
,NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ less than 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
