Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Explorationb,,4,3.8,2.8,3.7,3.6,3.3,4.4,5.8,5.1,5.0,7.3,8.7,7.3,8.3,9.3,10.9,11.4,10.9,11.2,6.3,5.9,6.0,2.5,3,1,1,0.7,1.2
,Production,,67,70.0,70.2,71.8,73.5,73.4,74.8,75.3,76.6,79.1,77.9,83.0,83.8,85.8,86.7,89.5,94.3,96.8,102.6,102.3,103.2,105.9,107.9,108.5,108.5,108.8,107.1,108.4
,Onshore Production,,35,37.7,37.5,38.6,39.6,39.2,40.8,41.1,41.9,41.2,42.0,46.3,47.2,48.6,49.5,51.5,54.5,55.3,58.1,57.2,56.2,54.7,53.6,53.3,49.3,47.2,46,45.1
,Offshore Production,,3.5,3.6,3.6,3.6,3.7,3.8,3.9,3.9,4.0,4.1,4.1,4.2,4.3,4.3,4.3,4.3,4.4,4.2,4.1,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
,Gathering and Boostingc,,28.5,28.7,29.1,29.6,30.2,30.4,30.2,30.3,30.7,33.8,31.8,32.4,32.3,32.9,33.0,33.7,35.4,37.4,40.3,41.3,43.2,47.4,50.5,51.4,55.4,57.9,57.4,59.5
,Processing,,21.3,21.1,21.2,20.6,20.1,18.2,16.4,15.8,14.0,14.2,13.9,13.2,13.3,12.5,12.1,11.6,11.3,11.0,10.7,10.4,10.1,10.1,10.1,10.8,11.1,11.1,11.4,11.7
,Transmission and Storage,,57.2,57.9,58.0,56.7,55.4,53.9,52.2,50.5,48.1,46.2,44.7,42.0,40.6,39.0,37.5,36.1,34.2,33.7,31.9,31.0,30.3,29.3,29.2,31,32.4,34.2,34.5,32.4
,Distribution,,43.5,42.9,41.8,41.3,41.6,38.4,36.2,35.2,33.9,31.9,30.5,29.2,27.8,25.6,24.5,23.3,22.0,18.2,17.0,15.5,13.9,12.6,12.5,12.3,12.2,12,12,11.9
,Total,,193.1,195.7,194.1,194.0,194.2,187.2,184.1,182.6,177.7,176.3,174.2,176.2,172.6,171.1,170.3,171.4,173.3,170.7,173.4,165.5,163.4,163.9,162.2,165.6,165.1,167.2,165.7,165.6
,,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"b Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"c Gathering and boosting includes gathering and boosting station routine vented and leak sources, gathering pipeline leaks and blowdowns, and gathering and boosting station episodic events. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note:  Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
