Table 3-65:  CH4 Emissions from Natural Gas Systems (kt)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Explorationb,162,154,114,147,144,133,177,232,204,200,291,350,291,332,374,437,458,438,448,251,236,240,100,119,39,42,28,49
,Production,"2,679","2,800","2,809","2,872","2,941","2,935","2,994","3,011","3,064","3,163","3,115","3,320","3,350","3,431","3,470","3,578","3,773","3,873","4,103","4,094","4,128","4,235","4,315","4,340","4,338","4,353","4,286","4,337"
,Onshore Production,"1,399","1,509","1,501","1,545","1,585","1,569","1,630","1,644","1,674","1,648","1,679","1,853","1,888","1,944","1,980","2,058","2,179","2,211","2,325","2,286","2,250","2,188","2,144","2,133","1,972","1,888","1,840","1,806"
,Offshore Production,141,144,145,145,148,151,155,156,161,163,165,170,172,172,171,173,176,167,164,156,151,151,151,151,151,151,151,151
,Gathering and Boostingc,"1,139","1,147","1,162","1,183","1,208","1,214","1,208","1,211","1,230","1,352","1,271","1,298","1,290","1,315","1,318","1,347","1,417","1,495","1,613","1,652","1,728","1,897","2,021","2,056","2,216","2,315","2,295","2,380"
,Processing,853,843,848,822,802,729,657,633,559,567,556,527,530,501,484,464,454,441,428,415,404,403,403,432,443,443,456,469
,Transmission and Storage,"2,289","2,317","2,321","2,266","2,216","2,156","2,090","2,020","1,924","1,847","1,786","1,681","1,623","1,558","1,501","1,444","1,367","1,349","1,277","1,242","1,213","1,173","1,169","1,239","1,295","1,368","1,380","1,295"
,Distribution,"1,741","1,715","1,671","1,652","1,665","1,536","1,448","1,406","1,357","1,276","1,219","1,169","1,111","1,023",982,932,881,727,682,620,554,504,500,494,487,481,480,475
,Total,"7,723","7,829","7,762","7,760","7,768","7,490","7,366","7,302","7,108","7,053","6,967","7,047","6,906","6,846","6,811","6,856","6,932","6,827","6,937","6,622","6,535","6,555","6,486","6,624","6,603","6,686","6,629","6,624"
,"a These values represent CH4 emitted to the atmosphere. CH4 that is captured, flared, or otherwise controlled (and not emitted to the atmosphere) has been calculated and removed from emission totals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Exploration includes well drilling, testing, and completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c Gathering and boosting includes gathering and boosting station routine vented and leak sources, gathering pipeline leaks and blowdowns, and gathering and boosting station episodic events. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
