Table 3-66:  Calculated Potential CH4 and Captured/Combusted CH4 from Natural Gas Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Calculated Potentiala,193.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182,184.5,182.0,186.1,178.0,176.2,176.9,175.4,179,178.4,180.5,179.1,179
,Exploration,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,11.4,10.9,11.2,6.3,5.9,6.0,2.5,3,1,1,0.7,1.2
,Production,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,99.6,102.4,108.5,108.4,109.6,112.3,114.4,115.2,115.1,115.5,113.8,115.1
,Processing,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.3,11.0,10.7,10.4,10.1,10.1,10.1,10.8,11.1,11.1,11.4,11.7
,Transmission and Storage,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,40.1,39.4,38.6,37.5,36.8,35.9,35.9,37.7,39.1,40.9,41.2,39.1
,Distribution,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,22.0,18.2,17.0,15.5,13.9,12.6,12.5,12.3,12.2,12,12,11.9
,Captured/Combusted,0,0.0,0.0,0.4,0.9,1.5,2.6,3.4,5.0,6.2,6.9,8.1,8.8,9.7,10.3,10.6,11.2,11.3,12.6,12.4,12.8,13.0,13.2,13.4,13.4,13.4,13.4,13.4
,Exploration,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,Production,0,0.0,0.0,0.2,0.7,1.0,2.0,2.3,2.8,3.5,3.6,4.0,4.1,4.6,5.1,5.3,5.3,5.6,6.0,6.0,6.4,6.4,6.5,6.7,6.7,6.7,6.7,6.7
,Processing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,Transmission and Storage,0,0.0,0.0,0.1,0.2,0.4,0.6,1.2,2.2,2.7,3.2,4.1,4.8,5.0,5.2,5.3,5.9,5.7,6.7,6.4,6.4,6.5,6.7,6.7,6.7,6.7,6.7,6.7
,Distribution,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,Net Emissions,193.1,0.0,0.0,-0.4,-0.9,-1.5,-2.6,-3.4,-5.0,-6.2,-6.9,-8.1,-8.8,-9.7,-10.3,171.4,173.3,170.7,173.4,165.5,163.4,163.9,162.2,165.6,165.1,167.2,165.7,165.6
,Exploration,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,11.4,10.9,11.2,6.3,5.9,6.0,2.5,3,1,1,0.7,1.2
,Production,67,0.0,0.0,-0.2,-0.7,-1.0,-2.0,-2.3,-2.8,-3.5,-3.6,-4.0,-4.1,-4.6,-5.1,89.5,94.3,96.8,102.6,102.3,103.2,105.9,107.9,108.5,108.5,108.8,107.1,108.4
,Processing,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.3,11.0,10.7,10.4,10.1,10.1,10.1,10.8,11.1,11.1,11.4,11.7
,Transmission and Storage,57.2,0.0,0.0,-0.1,-0.2,-0.4,-0.6,-1.2,-2.2,-2.7,-3.2,-4.1,-4.8,-5.0,-5.2,36.1,34.2,33.7,31.9,31.0,30.3,29.3,29.2,31,32.4,34.2,34.5,32.4
,Distribution,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,22.0,18.2,17.0,15.5,13.9,12.6,12.5,12.3,12.2,12,12,11.9
,"a In this context, “potential” means the total emissions calculated before voluntary reductions and regulatory controls are applied.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
