Table 3-68:  Non-combustion CO2 Emissions from Natural Gas Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Exploration,409, 387 , 284 , 370 , 361 , 333 , 446 , 589 , 516 , 506 , 739 , 977 , 889 ," 1,112 "," 1,370 ","1,756"," 2,011 "," 2,102 "," 2,352 "," 1,418 "," 1,457 "," 1,957 "," 1,325 ","1,281",843,291,194,483
,Production,"1,035"," 1,043 ", 964 ," 1,029 "," 1,106 "," 1,129 "," 1,267 "," 1,393 "," 1,468 "," 1,470 "," 1,450 "," 1,584 "," 1,645 "," 1,637 "," 1,692 ","1,759"," 1,854 "," 1,937 "," 2,268 "," 2,285 "," 2,506 "," 3,065 "," 2,734 ","3,076","3,342","3,448","3,188","2,845"
,Processing,"28,338"," 27,334 "," 27,260 "," 26,819 "," 26,565 "," 24,531 "," 22,455 "," 21,982 "," 19,778 "," 20,419 "," 20,385 "," 19,692 "," 20,206 "," 19,486 "," 19,247 ","18,876"," 18,872 "," 18,799 "," 18,725 "," 18,616 "," 18,634 "," 19,122 "," 19,122 ","20,510","21,047","21,047","21,724","22,452"
,Transmission and Storage,216, 219 , 219 , 218 , 216 , 214 , 213 , 211 , 210 , 208 , 206 , 212 , 211 , 216 , 214 ,219, 218 , 216 , 237 , 242 , 256 , 262 , 267 ,267,272,271,368,533
,Distribution,51, 50 , 49 , 49 , 49 , 45 , 43 , 41 , 40 , 38 , 36 , 34 , 33 , 30 , 29 ,27, 26 , 21 , 20 , 18 , 16 , 15 , 15 ,15,14,14,14,14
,Total,"30,048"," 29,033 "," 28,776 "," 28,485 "," 28,297 "," 26,252 "," 24,423 "," 24,217 "," 22,011 "," 22,641 "," 22,817 "," 22,499 "," 22,984 "," 22,482 "," 22,552 ","22,638"," 22,981 "," 23,076 "," 23,602 "," 22,579 "," 22,870 "," 24,420 "," 23,463 ","25,148","25,518","25,071","25,488","26,327"
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
