"Table 3-7:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Transportation,"1,524.10","1,479.1","1,537.3","1,570.1","1,617.0","1,645.2","1,692.9","1,709.8","1,745.2","1,809.4","1,841.6","1,818.1","1,857.2","1,847.6","1,889.1","1,905.60","1,898.7","1,895.9","1,797.7","1,722.7","1,731.1","1,709.2","1,695.4","1,709.30","1,745.90","1,756.40","1,800.30","1,820.70"
,CO2,"1,469.10","1,422.5","1,477.8","1,508.7","1,553.8","1,580.5","1,627.2","1,643.3","1,678.6","1,746.0","1,779.4","1,758.4","1,799.9","1,792.5","1,837.2","1,857.00","1,852.7","1,854.9","1,760.2","1,687.5","1,697.4","1,677.2","1,666.5","1,682.70","1,721.60","1,734.00","1,779.00","1,800.60"
,CH4,12.9,12.7,12.7,12.5,12.4,12.4,12.2,12.0,11.8,11.0,10.8,11.1,10.9,10.9,10.2,9.6,9.2,8.2,7.2,6.5,6.1,5.6,5.0,4.5,4.1,3.6,3.4,3.2
,N2O,42,43.9,46.9,48.9,50.8,52.3,53.6,54.5,54.9,52.5,51.4,48.5,46.5,44.2,41.8,39,36.7,32.8,30.3,28.7,27.6,26.3,23.9,22.1,20.2,18.8,17.9,16.9
,Electric Power,"1,840.90","1,838.3","1,851.7","1,928.1","1,952.9","1,969.8","2,043.4","2,111.3","2,201.0","2,214.2","2,322.0","2,282.9","2,299.3","2,331.9","2,364.5","2,430.90","2,375.1","2,442.3","2,390.3","2,174.1","2,289.7","2,187.9","2,050.9","2,067.90","2,067.10","1,928.30","1,836.20","1,757.90"
,CO2,"1,820.00","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.0","2,257.1","2,272.1","2,303.6","2,335.0","2,400.00","2,344.4","2,411.1","2,359.3","2,145.3","2,258.6","2,158.1","2,023.2","2,038.30","2,037.10","1,900.60","1,808.90","1,732.00"
,CH4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1,1.1,1.2,1.2,1.1
,N2O,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24.0,24.0,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30.0,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8
,Industrial,862.4,844.7,875.9,878.0,887.6,900.1,935.5,932.9,895.6,861.7,877.1,872.7,859.3,858.5,882.9,858.1,882.5,876.1,830.1,753.9,804.6,805.3,814.7,844.5,823.9,812.2,811.8,814.9
,CO2,857.5,840.0,871.0,873.1,882.4,894.9,930.2,927.5,890.6,856.7,872.1,868.0,854.8,854.0,878.1,853.4,877.7,871.5,825.7,750.1,800.3,801.0,810.4,840,819.6,807.9,807.6,810.7
,CH4,1.8,1.8,1.8,1.8,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.6,1.4,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.6
,N2O,3.1,3.0,3.1,3.1,3.2,3.3,3.3,3.4,3.2,3.1,3.2,3.0,2.9,2.8,3.0,2.9,3.0,2.9,2.7,2.4,2.7,2.7,2.7,2.8,2.7,2.7,2.6,2.7
,Residential,344.5,353.8,360.3,371.7,362.6,358.6,389.1,369.7,335.8,355.3,375.8,366.7,364.8,384.1,372.3,362.8,325.7,346.2,352.9,341.9,340.5,331.8,287.0,335.2,352.8,323.2,297.6,299
,CO2,338.2,347.2,353.5,365.6,356.9,352.9,383.1,364.7,331.4,350.6,370.9,362.2,360.3,379.3,367.5,357.9,321.3,341.4,347.7,336.5,334.9,326.3,282.4,329.3,346.8,317.8,292.9,294.5
,CH4,5.2,5.4,5.7,5.0,4.8,4.7,5.0,4.1,3.6,3.8,4.0,3.7,3.7,3.9,4.0,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5,4.5,3.9,3.8
,N2O,1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1,1,0.9,0.8,0.8
,Commercial,228,232.4,227.7,224.4,226.2,229.3,239.1,239.3,221.5,222.1,237.7,229.6,230.2,241.3,238.8,228.2,213.1,224.9,229.3,229.8,226.3,226.3,201.8,226,234.3,247,233.7,234.4
,CO2,226.5,231.0,226.2,222.9,224.7,227.8,237.6,237.8,220.2,220.8,236.3,228.2,228.8,239.8,237.4,226.8,211.8,223.5,227.9,228.4,224.9,224.9,200.6,224.6,232.9,245.5,232.1,232.9
,CH4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.1,0.9,1.1,1.1,1.2,1.2,1.2
,N2O,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3
,U.S. Territoriesa,27.7,31.5,33.3,34.3,37.9,34.4,32.2,33.1,33.3,34.1,35.7,47.7,42.6,49.8,52.2,49.9,50.1,47.2,40.8,43.3,42.6,41.0,43.7,42.6,41.5,41.5,41.5,41.5
