Table 3-72:  Recalculations of CO2 in Natural Gas Systems (MMT CO2),,,,
,,,,
,Stage and Emission Source,"Previous Estimate Year 2016, ","Current Estimate Year 2016, ",Current Estimate 
,,2018 Inventory,2019 Inventory,"Year 2017, 2019 Inventory"
,Exploration,0.1,0.2,0.5
,HF Completions,0.1,0.2,0.5
,Production,3.2,3.2,2.8
,Gathering Pipelines,+,+,+
,Miscellaneous Flaring,1.1,1.2,1.1
,Tanks,1.2,1.1,0.6
,HF Workovers,+,0.1,0.4
,Processing,22,21.7,22.5
,AGR Vents,16.6,16.5,16.7
,Flares,5.4,5.2,5.7
,Transmission and Storage,0.1,0.4,0.5
,LNG Storage,+,+,+
,LNG Import/Export Terminals,+,0.2,0.4
,Pipeline Blowdowns,+,+,+
,Distribution,+,+,+
,Total,25.5,25.5,26.3
,+ Does not exceed 0.05 MMT CO2.,,,
