Table 3-73:  Recalculations of CH4 in Natural Gas Systems (MMT CO2 Eq.),,,,
,,,,
,Stage and Emission Source,"Previous Estimate Year 2016, ","Current Estimate Year 2016, ",Current Estimate 
,,2018 Inventory,2019 Inventory,"Year 2017, 2019 Inventory"
,Exploration,0.7,0.7,1.2
,Production,106.8,107.1,108.4
,G&B Stations,53.7,53.6,55.5
,Gathering Pipelines,4,3.8,4
,Pneumatic Controllers,26.3,26.6,26.4
,Liquids Unloading,3.3,3.3,2.9
,HF Workovers,0.4,0.4,0.8
,Gas Engines,2.7,3,2.8
,Processing,11.2,11.4,11.7
,Gas Engines,6.1,6.3,6.4
,Transmission and Storage,32.8,34.5,32.4
,LNG Storage,1.8,0.2,0.3
,LNG Import/Export Terminals,0.3,0.4,0.4
,Pipeline Blowdowns,4.6,6.3,4.6
,Distribution,12,12,11.9
,Total,163.5,165.7,165.6
