Table 3-75:  HF Gas Well Completions National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HF Completions - Non-REC with Venting,10,10,7,9,9,8,11,15,13,13,19,22,18,21,24,27,29,27,27,15,14,14,3,11,2,+,+,+
,HF Completions - Non-REC with Flaring,390,368,267,351,342,315,424,563,492,481,708,888,765,911,1073,"1,316",1443,1447,1555,897,888,1259,621,324,327,58,12,37
,HF Completions - REC with Venting,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,+,1,1,2,3,4,4,5,3,4,5,1,2,+,1,+,1
,HF Completions - REC with Flaring,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,53,92,164,257,394,519,607,746,484,532,660,692,929,502,218,164,438
,Total Emissions ,400,378,274,360,351,323,435,578,504,494,727,964,876,"1,097","1,355","1,741","1,994","2,085","2,334","1,399","1,438","1,937","1,316","1,265",832,277,177,475
,Previous Estimate ,397,383,277,361,350,320,428,564,505,483,726,968,886,"1,102","1,358","1,748","2,013","2,104","2,347","1,412","1,446","1,937","1,318","1,148",844,277,120,NA
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      + Does not exceed 0.5 kt CO2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
