Table 3-78:  Miscellaneous Production Flaring National Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Miscellaneous Flaring-Gulf Coast Basin,NO,NO,NO,13,27,42,58,72,86,98,115,128,132,140,150,155,164,170,177,165,160,174,208,250,296,331,243,193
,Miscellaneous Flaring-Williston Basin,NO,NO,NO,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  +,  NO,10
,Miscellaneous Flaring-Permian Basin,NO,NO,NO,23,46,68,92,114,138,156,179,206,223,245,272,256,280,303,324,335,337,344,379,434,535,644,506,579
,Miscellaneous Flaring-Other Basins,NO,NO,NO,7,15,22,30,38,46,54,64,72,81,93,105,118,131,151,176,195,219,256,279,293,319,343,438,308
,Total Emissions ,NO,NO,NO,43,88,132,180,224,270,308,358,406,436,478,527,530,575,624,677,695,716,774,866,978,"1,150","1,317","1,186","1,090"
,Previous Estimate ,NO,NO,NO,47,94,141,193,240,289,330,384,436,469,514,568,572,620,675,732,751,775,837,938,"1,057","1,241","1,415","1,129",NA
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      + Does not exceed 0.5 kt CO2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
