"Table 3-8:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Transportation,"1,527.10","1,482.1","1,540.3","1,573.1","1,620.1","1,648.2","1,696.0","1,712.9","1,748.4","1,812.7","1,845.1","1,821.7","1,860.7","1,851.9","1,893.7","1,910.30","1,903.2","1,901.0","1,802.4","1,727.1","1,735.6","1,713.5","1,699.4","1,713.60","1,750.30","1,760.60","1,804.50","1,825.00"
,CO2,"1,472.10","1,425.5","1,480.7","1,511.7","1,556.9","1,583.5","1,630.2","1,646.4","1,681.8","1,749.2","1,782.8","1,762.1","1,803.3","1,796.8","1,841.7","1,861.70","1,857.3","1,859.9","1,764.9","1,692.0","1,701.9","1,681.5","1,670.5","1,686.90","1,726.00","1,738.20","1,783.20","1,804.90"
,CH4,12.9,12.7,12.7,12.5,12.4,12.4,12.2,12.0,11.8,11.0,10.8,11.1,10.9,10.9,10.2,9.6,9.2,8.2,7.2,6.5,6.1,5.6,5.0,4.5,4.1,3.6,3.4,3.2
,N2O,42,43.9,46.9,48.9,50.8,52.3,53.6,54.5,54.9,52.5,51.4,48.5,46.5,44.2,41.8,39,36.7,32.8,30.3,28.7,27.6,26.3,23.9,22.1,20.2,18.8,17.9,16.9
,Industrial,"1,556.70","1,526.6","1,583.2","1,595.4","1,619.3","1,624.4","1,680.5","1,696.7","1,674.5","1,643.4","1,675.5","1,616.7","1,591.5","1,610.4","1,637.8","1,603.90","1,603.2","1,600.3","1,535.9","1,363.7","1,454.5","1,438.8","1,415.9","1,447.90","1,425.60","1,369.70","1,337.20","1,326.90"
,CO2,"1,543.90","1,514.1","1,570.2","1,582.3","1,605.7","1,610.9","1,666.7","1,682.7","1,660.8","1,629.7","1,661.5","1,603.6","1,578.3","1,596.7","1,623.6","1,589.70","1,589.1","1,586.4","1,522.5","1,351.8","1,441.3","1,425.8","1,403.5","1,434.80","1,412.50","1,357.40","1,325.20","1,315.10"
,CH4,2,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.0,1.9,1.9,2.0,2,2.0,2.0,1.9,1.7,1.9,1.9,2.0,2,2,2,1.9,1.9
,N2O,10.8,10.6,11.0,11.1,11.4,11.4,11.6,11.8,11.7,11.6,11.9,11.2,11.3,11.7,12.2,12.2,12.1,11.9,11.6,10.2,11.3,11.1,10.5,11.1,11.1,10.4,10.1,9.9
,Residential,944,962.3,958.5,"1,010.9","1,001.9","1,007.6","1,069.0","1,057.7","1,062.0","1,083.0","1,146.6","1,137.9","1,165.9","1,196.5","1,194.5","1,229.90","1,166.7","1,220.3","1,206.5","1,138.7","1,192.2","1,133.6","1,022.5","1,080.60","1,097.70","1,016.90",961,925.4
,CO2,930.9,948.9,944.9,997.5,988.8,994.5,"1,055.3","1,044.9","1,049.5","1,070.3","1,133.0","1,124.7","1,151.8","1,181.8","1,179.3","1,213.90","1,151.4","1,204.3","1,190.3","1,122.8","1,175.0","1,117.1","1,008.0","1,064.10","1,080.90","1,001.60",946.3,911.5
