Table 3-80:  Production Segment Pneumatic Controller National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Low Bleed,NO,NO,NO,676,"1,489","2,286","3,505","4,641","6,026","7,223","8,582","11,695","13,675","16,601","19,394","23,541","27,527","31,224","37,382","40,800","44,700","48,211","41,233","27,554","32,330","30,455","32,646","33,944"
,High Bleed,"297,952","318,332","317,026","335,228","354,357","347,723","382,711","387,154","399,201","389,913","384,306","440,007","436,233","451,808","452,138","450,013","472,913","459,823","470,259","435,980","402,395","361,372","308,297","177,784","129,712","101,930","107,162","107,398"
,Intermittent Bleed,"194,302","207,592","206,741","225,462","246,167","249,914","285,081","299,482","321,367","327,438","337,544","405,397","422,994","462,785","491,295","531,907","587,224","616,133","685,311","697,579","715,181","723,987","805,824","970,065","927,297","943,216","924,261","915,961"
,Total Emissions,"492,254","525,924","523,767","561,366","602,014","599,923","671,297","691,277","726,594","724,575","730,432","857,099","872,902","931,194","962,828","1,005,461","1,087,665","1,107,180","1,192,952","1,174,359","1,162,276","1,133,570","1,155,354","1,175,402","1,089,339","1,075,601","1,064,069","1,057,303"
,Previous Estimate,"506,905","539,133","537,712","561,258","597,164","594,417","658,417","665,918","702,547","704,675","706,667","828,432","839,830","895,295","928,634","981,773","1,051,179","1,073,138","1,157,532","1,137,611","1,128,107","1,102,560","1,121,135","1,134,147","1,072,375","1,055,935","1,053,207",NA
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
