Table 3-82:  Production Segment Storage Tanks National Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Large Tanks w/Flares,287,282,274,286,299,268,289,300,310,333,308,346,361,353,342,363,408,410,443,442,607,668,819,984,"1,030","1,041","1,080",558
,Large Tanks w/VRU,NO,+,+,+,+,+,+,+,+,+,+,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,2,+
,Large Tanks w/o Control,167,156,144,143,142,121,124,121,119,120,105,111,109,100,90,90,93,87,87,79,100,100,122,147,154,155,1,+
,Small Tanks w/Flares,NO,1,1,2,2,2,3,4,4,5,5,6,7,7,8,8,10,11,12,12,18,20,25,30,31,31,33,22
,Small Tanks w/o Flares,6,5,5,5,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,5,6,6,8,9,10,10,12,5
,Malfunctioning Separator Dump Valves,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,1
,Total Emissions ,460,444,423,436,449,396,421,429,438,463,422,469,482,466,445,466,517,513,547,539,732,796,976,"1,173","1,227","1,240","1,129",585
,Previous Estimate ,294,289,280,294,308,276,298,309,321,344,319,359,374,367,356,378,425,428,462,462,635,699,857,"1,030","1,078","1,089","1,224",NA
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.5 kt CO2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
