Table 4-100:  Emissions of HFCs and PFCs from ODS Substitution (Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
HFC-23,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,1 ,1,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2,2,2,2,2
HFC-32,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,2 ,5 ,22 ,55 ,106 ,176 ,268 ,397,644 ,923 ,"1,215 ","1,562 ","2,166 ","2,779 ","3,442 ","4,190","5,001","5,841","6,799","7,799"
HFC-125,+ ,+ ,+ ,34 ,91 ,192 ,326 ,502 ,655 ,857 ,"1,022 ","1,239 ","1,497 ","1,779 ","2,067 ","2,583","3,244 ","4,101 ","5,020 ","6,049 ","7,220 ","8,345 ","9,370 ","10,415","11,439","12,403","13,416","14,291"
HFC-134a,+ ,+ ,840 ,"3,630 ","8,787 ","19,638 ","26,414 ","33,321 ","37,222 ","41,916 ","46,283 ","49,696 ","51,432 ","52,045 ","52,814 ","52,974","54,010 ","54,920 ","56,135 ","57,163 ","56,232 ","52,675 ","49,254 ","45,644","44,095","42,735","40,358","37,846"
HFC-143a,+ ,+ ,+ ,16 ,45 ,113 ,210 ,346 ,499 ,711 ,873 ,"1,076 ","1,301 ","1,532 ","1,742 ","2,096","2,483 ","2,921 ","3,421 ","3,994 ","4,526 ","4,996 ","5,399 ","5,749","6,011","6,183","6,326","6,272"
HFC-236fa,+ ,+ ,+ ,7 ,22 ,36 ,45 ,55 ,65 ,74 ,83 ,91 ,99 ,106 ,112 ,118,123 ,127 ,130 ,133 ,136 ,139 ,142 ,147,145,134,127,119
CF4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,2 ,2 ,2,2 ,3 ,3 ,3 ,4 ,4 ,4 ,5,5,5,6,6
Othersa,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M 
+ Does not exceed 0.5 MT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M (Mixture of Gases),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Others represent an unspecified mix of HFCs and PFCs, which includes HFC-152a, HFC-227ea, HFC-245fa, HFC-43-10mee, HCFO-1233zd(E), HFO-1234yf, HFO-1234ze(E), HFO-1336mzz(Z), C4F10, and PFC/PFPEs, the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
