Table 4-105:  SF6 Emissions from Electric Power Systems and Electrical Equipment Manufacturers (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Electric Power Systems,Electrical Equipment Manufacturers,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,22.8,0.3,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,21.8,0.3,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,21.6,0.4,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,21.0,0.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,19.7,0.4,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,18.1,0.5,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,16.6,0.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,15.3,0.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,12.9,0.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,13.0,0.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,12.0,0.7,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,11.5,0.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,10.2,0.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,9.3,0.6,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,8.5,0.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,7.7,0.7,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,6.4,0.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,5.7,0.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,5.3,0.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,5.4,0.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,5.2,0.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,5.2,0.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,4.4,0.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,4.0,0.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,4.2,0.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,3.8,0.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,4.1,0.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,4.0,0.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
