Table 4-11:  CO2 Emissions from Glass Production (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,
,1990,1.5 ,"1,535",,,,,,,,,,,,,,,,,,,
,1991,1.4 ,"1,439 ",,,,,,,,,,,,,,,,,,,
,1992,1.5 ,"1,540 ",,,,,,,,,,,,,,,,,,,
,1993,1.6 ,"1,626 ",,,,,,,,,,,,,,,,,,,
,1994,1.7 ,"1,735 ",,,,,,,,,,,,,,,,,,,
,1995,1.8 ,"1,823 ",,,,,,,,,,,,,,,,,,,
,1996,1.7 ,"1,677 ",,,,,,,,,,,,,,,,,,,
,1997,1.6 ,"1,618 ",,,,,,,,,,,,,,,,,,,
,1998,1.5 ,"1,543 ",,,,,,,,,,,,,,,,,,,
,1999,1.4 ,"1,357 ",,,,,,,,,,,,,,,,,,,
,2000,1.7 ,"1,686 ",,,,,,,,,,,,,,,,,,,
,2001,1.4 ,"1,386 ",,,,,,,,,,,,,,,,,,,
,2002,1.7 ,"1,741 ",,,,,,,,,,,,,,,,,,,
,2003,1.6 ,"1,623 ",,,,,,,,,,,,,,,,,,,
,2004,1.6 ,"1,642 ",,,,,,,,,,,,,,,,,,,
,2005,1.9,"1,928",,,,,,,,,,,,,,,,,,,
,2006,2.1 ,"2,050 ",,,,,,,,,,,,,,,,,,,
,2007,1.5 ,"1,536 ",,,,,,,,,,,,,,,,,,,
,2008,1.5 ,"1,523 ",,,,,,,,,,,,,,,,,,,
,2009,1.0 ,"1,045 ",,,,,,,,,,,,,,,,,,,
,2010,1.5 ,"1,481 ",,,,,,,,,,,,,,,,,,,
,2011,1.3 ,"1,299 ",,,,,,,,,,,,,,,,,,,
,2012,1.2 ,"1,248 ",,,,,,,,,,,,,,,,,,,
,2013,1.3,"1,317",,,,,,,,,,,,,,,,,,,
,2014,1.3,"1,336",,,,,,,,,,,,,,,,,,,
,2015,1.3,"1,299",,,,,,,,,,,,,,,,,,,
,2016,1.3,"1,249",,,,,,,,,,,,,,,,,,,
,2017,1.3,"1,315",,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding ,,,,,,,,,,,,,,,,,,,,,
