Table 4-15:  CO2 Emissions from Other Process Uses of Carbonates (kt),,,,,,,
,,,,,,,
,Year,Flux Stone,FGD,Magnesium Production,Soda Ash Consumptiona,Other Miscellaneous Usesb,Total
,1990,"2,592","1,432",64,"1,390",819,"6,297"
,1991,"2,227","1,287",64,"1,362",735,"5,675"
,1992,"1,913","1,368",64,"1,318",956,"5,619"
,1993,"1,168","1,472",64,"1,324","1,205","5,234"
,1994,"1,734","1,689",70,"1,290",854,"5,636"
,1995,"3,196","1,718",73,"1,396","1,167","7,552"
,1996,"3,620","1,988",73,"1,392","1,101","8,174"
,1997,"4,473","1,425",73,"1,392",402,"7,765"
,1998,"4,539","1,232",73,"1,384",857,"8,085"
,1999,"5,551","1,239",73,"1,310",713,"8,887"
,2000,"2,090","1,785",73,"1,337",721,"6,007"
,2001,"1,589","2,523",53,"1,373",495,"6,033"
,2002,"1,697","2,783",0,"1,352",657,"6,489"
,2003,"1,426","1,933",0,"1,315",379,"5,054"
,2004,"3,371","1,860",0,"1,302",367,"6,900"
,2005,"2,649","2,973",0,"1,305",718,"7,644"
,2006,"4,490","2,059",0,"1,276",735,"8,560"
,2007,"1,958","3,177",0,"1,262","2,230","8,626"
,2008,974,"3,799",0,"1,227","1,113","7,112"
,2009,"1,784","5,403",0,"1,098",396,"8,681"
,2010,"1,560","7,064",0,"1,148",937,"10,709"
,2011,"1,467","5,420",0,"1,105","2,449","10,440"
,2012,"1,077","5,797",0,"1,097","1,148","9,119"
,2013,"2,307","6,309",0,"1,109","1,798","11,524"
,2014,"2,911","7,111",0,"1,143","1,790","12,954"
,2015,"2,901","7,335",0,"1,075",871,"12,182"
,2016,"2,585","6,164",0,"1,082","1,137","10,969"
,2017,"2,645","5,904",0,"1,058",532,"10,139"
,a Soda ash consumption not associated with glass manufacturing.,,,,,,
,"b “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, acid neutralization, and sugar refining. ",,,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,,
