Table 4-2:  Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"208,834","199,000 ","202,199 ","200,497 ","208,185 ","216,561 ","217,572 ","222,051 ","218,647 ","217,464 ","215,001 ","193,585 ","193,777 ","188,711 ","196,466 ","191,654","196,448 ","198,896 ","183,869 ","141,699 ","170,193 ","174,445 ","171,136 ","173,073","179,191","172,963","164,524","166,872"
,Iron and Steel Production & Metallurgical Coke Production,"101,630","92,242 ","93,132 ","89,148 ","91,996 ","95,765 ","93,829 ","95,186 ","88,887 ","86,778 ","88,299 ","77,758 ","73,889 ","70,723 ","70,353 ","68,210","70,938 ","72,713 ","68,172 ","43,845 ","56,874 ","61,242 ","55,600 ","53,471","58,353","47,825","42,309","41,782"
,Iron and Steel Production,"99,126","89,870 ","91,709 ","88,695 ","89,363 ","93,178 ","92,003 ","93,816 ","86,360 ","84,285 ","86,069 ","76,862 ","71,616 ","68,277 ","68,435 ","66,160","69,009 ","70,649 ","65,830 ","42,884 ","54,783 ","59,810 ","55,050 ","51,641","56,332","44,981","40,983","41,204"
,Metallurgical Coke Production,"2,504","2,371 ","1,423 ",453 ,"2,633 ","2,587 ","1,826 ","1,370 ","2,526 ","2,493 ","2,230 ",896 ,"2,272 ","2,445 ","1,918 ","2,050","1,928 ","2,063 ","2,342 ",961 ,"2,091 ","1,433 ",550 ,"1,830","2,020","2,843","1,327",578
,Cement Production,"33,484","32,736 ","32,993 ","34,838 ","36,310 ","37,075 ","37,309 ","38,561 ","39,461 ","40,239 ","41,445 ","41,613 ","43,164 ","43,349 ","45,886 ","46,194","46,851 ","45,509 ","41,416 ","29,615 ","31,449 ","32,208 ","35,270 ","36,369","39,439","39,907","39,439","40,324"
,Petrochemical Production,"21,222","22,623 ","23,222 ","24,168 ","26,098 ","27,446 ","28,568 ","29,944 ","30,292 ","31,695 ","30,971 ","27,096 ","28,113 ","27,904 ","30,054 ","26,810","27,020 ","27,456 ","24,196 ","23,238 ","27,262 ","26,338 ","26,501 ","26,395","26,496","28,062","28,110","28,225"
,Ammonia Production,"13,047","13,279 ","13,683 ","13,205 ","14,151 ","13,541 ","13,836 ","14,028 ","14,143 ","12,948 ","12,172 ","9,233 ","10,499 ","8,817 ","9,568 ","9,196","8,781 ","9,074 ","8,414 ","8,454 ","9,188 ","8,229 ","8,949 ","9,480","9,377","10,634","10,838","13,216"
,Lime Production,"11,700","11,539 ","11,927 ","12,279 ","12,736 ","13,538 ","14,242 ","14,498 ","14,792 ","14,425 ","14,282 ","13,722 ","13,169 ","13,907 ","14,613 ","14,552","15,243 ","14,721 ","14,505 ","11,411 ","13,381 ","13,982 ","13,785 ","14,028","14,210","13,342","12,942","13,145"
,Other Process Uses of Carbonates,"6,297","5,675 ","5,619 ","5,234 ","5,636 ","7,552 ","8,174 ","7,765 ","8,085 ","8,887 ","6,007 ","6,033 ","6,489 ","5,054 ","6,900 ","7,644","8,560 ","8,626 ","7,112 ","8,681 ","10,709 ","10,440 ","9,119 ","11,524","12,954","12,182","10,969","10,139"
,Urea Consumption for Non-Agricultural Purposes,"3,784","3,501 ","3,863 ","4,568 ","4,268 ","4,255 ","3,859 ","3,931 ","4,844 ","4,650 ","4,231 ","4,072 ","3,700 ","3,558 ","3,673 ","3,653","3,519 ","4,944 ","4,065 ","3,427 ","4,730 ","5,093 ","4,820 ","4,556","1,807","4,578","5,132","4,958"
