Table 4-3:  CO2 Emissions from Cement Production (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,
,1990,33.5,"33,484",,,,,,,,,,,,,,,,,
,1991,32.7 ,"32,736",,,,,,,,,,,,,,,,,
,1992,33.0 ,"32,993",,,,,,,,,,,,,,,,,
,1993,34.8 ,"34,838",,,,,,,,,,,,,,,,,
,1994,36.3 ,"36,310",,,,,,,,,,,,,,,,,
,1995,37.1 ,"37,075",,,,,,,,,,,,,,,,,
,1996,37.3 ,"37,309",,,,,,,,,,,,,,,,,
,1997,38.6 ,"38,561",,,,,,,,,,,,,,,,,
,1998,39.5 ,"39,461",,,,,,,,,,,,,,,,,
,1999,40.2 ,"40,239",,,,,,,,,,,,,,,,,
,2000,41.4 ,"41,445",,,,,,,,,,,,,,,,,
,2001,41.6 ,"41,613",,,,,,,,,,,,,,,,,
,2002,43.2 ,"43,164",,,,,,,,,,,,,,,,,
,2003,43.3 ,"43,349",,,,,,,,,,,,,,,,,
,2004,45.9 ,"45,886",,,,,,,,,,,,,,,,,
,2005,46.2,"46,194",,,,,,,,,,,,,,,,,
,2006,46.9 ,"46,851",,,,,,,,,,,,,,,,,
,2007,45.5 ,"45,509",,,,,,,,,,,,,,,,,
,2008,41.4 ,"41,416",,,,,,,,,,,,,,,,,
,2009,29.6 ,"29,615",,,,,,,,,,,,,,,,,
,2010,31.4 ,"31,449",,,,,,,,,,,,,,,,,
,2011,32.2 ,"32,208",,,,,,,,,,,,,,,,,
,2012,35.3 ,"35,270",,,,,,,,,,,,,,,,,
,2013,36.4,"36,369",,,,,,,,,,,,,,,,,
,2014,39.4,"39,439",,,,,,,,,,,,,,,,,
,2015,39.9,"39,907",,,,,,,,,,,,,,,,,
,2016,39.4,"39,439",,,,,,,,,,,,,,,,,
,2017,40.3,"40,324",,,,,,,,,,,,,,,,,
