Table 4-33: N2O Emissions from Caprolactam Production (MMT CO2 Eq. and kt N2O),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt N2O,,,,,,,,,,,,,,,,,
,1990,1.7,6,,,,,,,,,,,,,,,,,
,1991,1.6 ,5 ,,,,,,,,,,,,,,,,,
,1992,1.7 ,6 ,,,,,,,,,,,,,,,,,
,1993,1.7 ,6 ,,,,,,,,,,,,,,,,,
,1994,1.9 ,6 ,,,,,,,,,,,,,,,,,
,1995,1.9 ,7 ,,,,,,,,,,,,,,,,,
,1996,1.9 ,6 ,,,,,,,,,,,,,,,,,
,1997,2.0 ,7 ,,,,,,,,,,,,,,,,,
,1998,2.0 ,7 ,,,,,,,,,,,,,,,,,
,1999,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2000,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2001,1.9 ,6 ,,,,,,,,,,,,,,,,,
,2002,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2003,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2004,2.1 ,7 ,,,,,,,,,,,,,,,,,
,2005,2.1,7,,,,,,,,,,,,,,,,,
,2006,2.1 ,7 ,,,,,,,,,,,,,,,,,
,2007,2.2 ,7 ,,,,,,,,,,,,,,,,,
,2008,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2009,1.9 ,6 ,,,,,,,,,,,,,,,,,
,2010,2.1 ,7 ,,,,,,,,,,,,,,,,,
,2011,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2012,2.0 ,7 ,,,,,,,,,,,,,,,,,
,2013,2,7,,,,,,,,,,,,,,,,,
,2014,2,7,,,,,,,,,,,,,,,,,
,2015,2,7,,,,,,,,,,,,,,,,,
,2016,2,7,,,,,,,,,,,,,,,,,
,2017,1.4,5,,,,,,,,,,,,,,,,,
