Table 4-4:  Clinker Production (kt),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Year,Clinker,,,,,,,,,,,,,,,,
,1990,"64,355",,,,,,,,,,,,,,,,"88,190"
,1991,"62,918",,,,,,,,,,,,,,,,
,1992,"63,411",,,,,,,,,,,,,,,,
,1993,"66,957",,,,,,,,,,,,,,,,
,1994,"69,787",,,,,,,,,,,,,,,,
,1995,"71,257",,,,,,,,,,,,,,,,
,1996,"71,706",,,,,,,,,,,,,,,,
,1997,"74,112",,,,,,,,,,,,,,,,
,1998,"75,842",,,,,,,,,,,,,,,,
,1999,"77,337",,,,,,,,,,,,,,,,
,2000,"79,656",,,,,,,,,,,,,,,,
,2001,"79,979",,,,,,,,,,,,,,,,
,2002,"82,959",,,,,,,,,,,,,,,,
,2003,"83,315",,,,,,,,,,,,,,,,
,2004,"88,190",,,,,,,,,,,,,,,,
,2005,"88,783",,,,,,,,,,,,,,,,
,2006,"90,045",,,,,,,,,,,,,,,,
,2007,"87,466",,,,,,,,,,,,,,,,
,2008,"79,599",,,,,,,,,,,,,,,,
,2009,"56,918",,,,,,,,,,,,,,,,
,2010,"60,444",,,,,,,,,,,,,,,,
,2011,"61,903",,,,,,,,,,,,,,,,
,2012,"67,788",,,,,,,,,,,,,,,,
,2013,"69,900",,,,,,,,,,,,,,,,
,2014,"75,800",,,,,,,,,,,,,,,,
,2015,"76,700",,,,,,,,,,,,,,,,
,2016,"75,800",,,,,,,,,,,,,,,,
,2017,"77,500",,,,,,,,,,,,,,,,
,Notes: Clinker production from 1990 through 2017 includes Puerto Rico.,,,,,,,,,,,,,,,,,
