Table 4-40:  CO2 Emissions from Titanium Dioxide (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1.2 ,"1,195 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1.2 ,"1,211 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,1.4 ,"1,392 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1.4 ,"1,416 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1.5 ,"1,526 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1.5 ,"1,526 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,1.5 ,"1,514 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1.7 ,"1,677 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,1.7 ,"1,662 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,1.7 ,"1,693 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,1.8 ,"1,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,1.7 ,"1,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,1.8 ,"1,824 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,1.8 ,"1,839 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2.1 ,"2,064 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,1.8 ,"1,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,1.8 ,"1,836 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,1.9 ,"1,930 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,1.8 ,"1,809 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1.6 ,"1,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1.8 ,"1,769 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,1.7 ,"1,729 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,1.5 ,"1,528 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,1.7 ,"1,715 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1.7 ,"1,688 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1.6 ,"1,635 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,1.7 ,"1,662 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,1.7 ,"1,688 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
