Table 4-43:  CO2 Emissions from Soda Ash Production (MMT CO2 Eq. and kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1.4 ,"1,431 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1.4 ,"1,431 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,1.5 ,"1,451 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1.4 ,"1,412 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1.4 ,"1,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1.6 ,"1,607 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,1.6 ,"1,587 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1.7 ,"1,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,1.6 ,"1,607 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,1.5 ,"1,548 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,1.5 ,"1,529 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,1.5 ,"1,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,1.5 ,"1,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,1.5 ,"1,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,1.6 ,"1,607 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,1.7 ,"1,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,1.6 ,"1,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,1.7 ,"1,675 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,1.7 ,"1,733 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1.5 ,"1,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1.5 ,"1,548 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,1.6 ,"1,607 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,1.7 ,"1,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,1.7 ,"1,694 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1.7 ,"1,685 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1.7 ,"1,714 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,1.7 ,"1,723 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,1.8 ,"1,753 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
