Table 4-50:  HFC-23 Emissions from HCFC-22 Production (MMT CO2 Eq. and kt HFC-23),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt HFC-23,,,,,,,,,,,,,,,,,
,1990,46.1,3,,,,,,,,,,,,,,,,,
,1991,41.4 ,3 ,,,,,,,,,,,,,,,,,
,1992,46.0 ,3 ,,,,,,,,,,,,,,,,,
,1993,41.9 ,3 ,,,,,,,,,,,,,,,,,
,1994,39.9 ,3 ,,,,,,,,,,,,,,,,,
,1995,41.7 ,3 ,,,,,,,,,,,,,,,,,
,1996,39.4 ,3 ,,,,,,,,,,,,,,,,,
,1997,38.1 ,3 ,,,,,,,,,,,,,,,,,
,1998,49.9 ,3 ,,,,,,,,,,,,,,,,,
,1999,38.5 ,3 ,,,,,,,,,,,,,,,,,
,2000,36.2 ,2 ,,,,,,,,,,,,,,,,,
,2001,25.0 ,2 ,,,,,,,,,,,,,,,,,
,2002,26.7 ,2 ,,,,,,,,,,,,,,,,,
,2003,15.6 ,1 ,,,,,,,,,,,,,,,,,
,2004,21.8 ,1 ,,,,,,,,,,,,,,,,,
,2005,20,1,,,,,,,,,,,,,,,,,
,2006,17.5 ,1 ,,,,,,,,,,,,,,,,,
,2007,21.5 ,1 ,,,,,,,,,,,,,,,,,
,2008,17.2 ,1 ,,,,,,,,,,,,,,,,,
,2009,6.8 ,+ ,,,,,,,,,,,,,,,,,
,2010,8.0 ,1 ,,,,,,,,,,,,,,,,,
,2011,8.8 ,1 ,,,,,,,,,,,,,,,,,
,2012,5.5 ,+ ,,,,,,,,,,,,,,,,,
,2013,4.1,0.3,,,,,,,,,,,,,,,,,
,2014,5,0.3,,,,,,,,,,,,,,,,,
,2015,4.3,0.3,,,,,,,,,,,,,,,,,
,2016,2.8,0.2,,,,,,,,,,,,,,,,,
,2017,5.2,0.3,,,,,,,,,,,,,,,,,
