Table 4-53:  CO2 Emissions from CO2 Consumption (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1.5 ,"1,472 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1.5 ,"1,469 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,1.5 ,"1,463 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1.5 ,"1,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1.5 ,"1,476 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1.5 ,"1,477 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,1.5 ,"1,486 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1.5 ,"1,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,1.5 ,"1,481 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,1.5 ,"1,479 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,1.5 ,"1,478 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,0.9 ,894 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,1.0 ,"1,047 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,1.4 ,"1,365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,1.3 ,"1,259 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,1.4 ,"1,375 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,1.8 ,"1,758 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,1.9 ,"1,922 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,1.8 ,"1,834 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1.8 ,"1,795 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,4.4 ,"4,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,4.1 ,"4,083 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,4.0 ,"4,019 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,4.2 ,"4,188 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,4.5 ,"4,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,4.5 ,"4,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,4.5 ,"4,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,4.5 ,"4,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
