Table 4-54:  CO2 Production (kt CO2) and the Percent Used for Non-EOR Applications,,,,,,,
,,,,,,,
,Year,"Jackson Dome, MS ","Bravo Dome, NM ","West Bravo Dome, NM CO2 Production ","McCallum Dome, CO ",Total CO2 Production from Extraction and Capture Facilities (kt),% Non-EORa
,,CO2 Production ,CO2 Production ,(kt) (% Non-EOR),CO2 Production ,,
,,(kt) (% Non-EOR),(kt) (% Non-EOR),,(kt) (% Non-EOR),,
,1990,"1,344 (100%)",63 (1%),+,65 (100%),NA,NA
,1991,"1,344 (100%) ",60 (1%) ,+,65 (100%),NA,NA
,1992,"1,344 (100%) ",54 (1%) ,+,65 (100%),NA,NA
,1993,"1,344 (100%) ",61 (1%) ,+,65 (100%),NA,NA
,1994,"1,344 (100%) ",67 (1%) ,+,65 (100%),NA,NA
,1995,"1,344 (100%) ",68 (1%) ,+,65 (100%),NA,NA
,1996,"1,344 (100%) ",77 (1%) ,+,65 (100%),NA,NA
,1997,"1,344 (100%) ",75 (1%) ,+,65 (100%),NA,NA
,1998,"1,344 (100%) ",72 (1%) ,+,65 (100%),NA,NA
,1999,"1,344 (100%) ",70 (1%) ,+,65 (100%),NA,NA
,2000,"1,344 (100%) ",68 (1%) ,+,66 (100%),NA,NA
,2001,758 (47%) ,66 (1%) ,+,70 (100%),NA,NA
,2002,918 (46%) ,64 (1%) ,+,65 (100%),NA,NA
,2003,"1,240 (38%) ",62 (1%) ,+,63 (100%),NA,NA
,2004,"1,130 (27%) ",60 (1%) ,+,70 (100%),NA,NA
,2005,"1,254 (27%)",58 (1%),+,63 (100%),NA,NA
,2006,"1,642 (25%) ",56 (1%) ,+,61 (100%),NA,NA
,2007,"1,798 (19%) ",56 (1%) ,+,68 (100%),NA,NA
,2008,"1,712 (14%) ",56 (1%) ,+,66 (100%),NA,NA
,2009,"1,705 (13%) ",46 (1%) ,21 (1%),23 (100%),NA,NA
,2010,NA,NA,NA,NA,"64,724*",7%
,2011,NA,NA,NA,NA,"66,241*",6%
,2012,NA,NA,NA,NA,"66,326*",6%
,2013,NA,NA,NA,NA,"68,435*",6%
,2014,NA,NA,NA,NA,"72,000*",6%
,2015,NA,NA,NA,NA,"72,000*",6%
,2016,NA,NA,NA,NA,"72,000*",6%
,2017,NA,NA,NA,NA,"72,000*",6%
,+ Does not exceed 0.5 percent.,,,,,,
,NA (Not Available),,,,,,
,"*For 2010 through 2017, the publicly available GHGRP data were aggregated at the national level. From 2010 through 2014, those aggregated values based GHGRP CBI criteria. For 2015 through 2017, values were held constant with those from 2014. Facility-level data are not publicly available from EPA’s GHGRP.",,,,,,
,a Includes only food & beverage applications.,,,,,,
