Table 4-77:  Production of Ferroalloys (Metric Tons),,,,,
,,,,,
,Year,Ferrosilicon 25%-55%,Ferrosilicon 56%-95%,Silicon Metal,Misc. Alloys 32-65%
,1990,"321,385","109,566","145,744","72,442"
,1991,"230,019","101,549","149,570","80,082"
,1992,"238,562","79,976","164,326","87,721"
,1993,"199,275","94,437","158,000","95,361"
,1994,"198,000","112,000","164,000","103,000"
,1995,"184,000","128,000","163,000","99,500"
,1996,"182,000","132,000","175,000","110,000"
,1997,"175,000","147,000","187,000","106,000"
,1998,"162,000","147,000","195,000","99,800"
,1999,"252,000","145,000","195,000",NA
,2000,"229,000","100,000","184,000",NA
,2001,"167,000","89,000","137,000",NA
,2002,"156,000","98,600","113,000",NA
,2003,"115,000","80,500","139,000",NA
,2004,"120,000","92,300","150,000",NA
,2005,"123,000","86,100","148,000",NA
,2006,"164,000","88,700","148,000",NA
,2007,"180,000","90,600","148,000",NA
,2008,"193,000","94,000","148,000",NA
,2009,"123,932","104,855","148,000",NA
,2010,"153,000","135,000","148,000",NA
,2011,"159,667","140,883","154,450",NA
,2012,"175,108","154,507","169,385",NA
,2013,"164,229","144,908","158,862",NA
,2014,"176,161","155,436","170,404",NA
,2015,"180,372","159,151","174,477",NA
,2016,"165,282","145,837","159,881",NA
,2017,"181,775","160,390","175,835",NA
,"NA - Not Available for product type, aggregated along with ferrosilicon (25-55% Si)",,,,
