Table 4-79:  CO2 Emissions from Aluminum Production (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,6.8 ,"6,831 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1991,6.9 ,"6,945 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1992,6.8 ,"6,804 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1993,6.2 ,"6,211 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1994,5.5 ,"5,539 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1995,5.7 ,"5,659 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1996,6.0 ,"5,987 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1997,6.0 ,"6,019 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1998,6.2 ,"6,191 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1999,6.3 ,"6,286 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2000,6.1 ,"6,086 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2001,4.4 ,"4,382 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2002,4.5 ,"4,491 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2003,4.5 ,"4,502 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2004,4.2 ,"4,231 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2005,4.1 ,"4,142 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2006,3.8 ,"3,801 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2007,4.3 ,"4,251 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2008,4.5 ,"4,477 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2009,3.0 ,"3,009 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2.7 ,"2,722 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2011,3.3 ,"3,292 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2012,3.4 ,"3,439 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2013,3.3,"3,255",,,,,,,,,,,,,,,,,,,,,,,,,
,2014,2.8,"2,833",,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2.8,"2,767",,,,,,,,,,,,,,,,,,,,,,,,,
,2016,1.3,"1,334",,,,,,,,,,,,,,,,,,,,,,,,,
,2017,1.2,"1,205",,,,,,,,,,,,,,,,,,,,,,,,,
