Table 4-80:  PFC Emissions from Aluminum Production (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,CF4,C2F6,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,17.9,3.5,21.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,15.1 ,3.0 ,18.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,13.9 ,2.8 ,16.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,13.4 ,2.6 ,16.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,11.7 ,2.4 ,14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,11.5 ,2.2 ,13.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,12.2 ,2.3 ,14.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,10.8 ,1.8 ,12.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,8.8 ,1.2 ,10.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,8.7 ,1.1 ,9.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,8.8 ,1.1 ,9.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,3.5 ,0.5 ,4.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,5.2 ,0.9 ,6.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,3.7 ,0.6 ,4.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2.8 ,0.5 ,3.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2.9 ,0.6 ,3.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2.4 ,0.5 ,2.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,3.6 ,0.9 ,4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2.5 ,0.7 ,3.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1.5 ,0.4 ,1.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1.4 ,0.5 ,1.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2.7 ,0.8 ,3.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2.3 ,0.7 ,2.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2.3,0.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1.9,0.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1.5,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,0.9,0.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,0.7,0.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
