Table 5-10:  CH4 Emissions from Rice Cultivation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Arkansas,3.3,4,3.1,3.9,3.4,3.5,3.4,3.3,3.4,3.9,3.9,3.3,3.6,3.4,3.7,4.7,3.7,3.9,3.4,4,5.2,4,3.8,NE,NE,NE,NE,NE
,California,2,1.7,1.6,1.9,2,2.1,2.1,2.3,2.2,2.2,2.2,2.3,2.2,1.9,2.3,2.1,2.3,2.1,2.1,2.1,2.1,1.9,2,NE,NE,NE,NE,NE
,Florida,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1.5,1.3,+ ,0.1,0.1,0.1,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE
,Illinois,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE
,Kentucky,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,Louisiana,6.1,6.5,7,6.2,6.2,5.6,6.3,6.6,7.2,7.8,7.3,6.9,5.9,5.5,5.4,6.5,4,4.8,4.1,5.5,5.5,5.6,3.9,NE,NE,NE,NE,NE
,Minnesota,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.6,+ ,0.1,+ ,+ ,+ ,NE,NE,NE,NE,NE
,Mississippi,0.6,0.6,0.7,0.7,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.3,0.6,0.4,0.5,0.4,0.3,0.5,0.3,0.5,NE,NE,NE,NE,NE
,Missouri,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.5,0.5,0.6,0.6,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.7,0.4,0.3,NE,NE,NE,NE,NE
,New York,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE
,South Carolina,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE
,Tennessee,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE
,Texas,3.7,3.8,4.3,3.8,2.2,3.7,3.4,2.7,2.4,1.7,2.4,2,3.3,2.3,1.7,2.1,1.7,1.4,0.8,2,1.8,1.8,0.9,NE,NE,NE,NE,NE
,Total,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.5,12.7,12.3,13.7,11.3
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NE (Not Estimated). State-level emissions are not estimated for 2013 through 2017 Inventory, and national emissions are determined using a surrogate data method.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
