Table 5-11:  CH4 Emissions from Rice Cultivation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Arkansas,132,161,122,158,138,138,137,133,137,154,157,130,145,136,147,188,147,156,135,159,208,162,151,NE,NE,NE,NE,NE
,California,81,67,64,76,80,83,84,92,89,89,87,93,89,76,93,82,92,86,85,85,83,75,81,NE,NE,NE,NE,NE
,Florida,+,+,+,+,+,+,+,+,+,62,53,2,3,4,5,3,4,+,4,+,+,+,+,NE,NE,NE,NE,NE
,Illinois,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,Kentucky,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,Louisiana,246,261,279,249,248,224,251,264,289,313,293,275,238,221,215,261,161,191,163,219,221,226,156,NE,NE,NE,NE,NE
,Minnesota,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,26,1,2,1,1,1,NE,NE,NE,NE,NE
,Mississippi,23,22,27,28,25,27,19,21,18,18,19,19,27,26,11,23,17,18,17,11,20,11,19,NE,NE,NE,NE,NE
,Missouri,12,9,9,12,13,12,9,13,13,19,21,22,24,16,21,22,23,25,24,22,28,15,12,NE,NE,NE,NE,NE
,New York,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,South Carolina,+,+,+,+,+,+,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,Tennessee,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NE,NE,NE,NE,NE
,Texas,146,150,174,154,88,147,135,107,97,66,98,79,131,93,70,86,68,54,30,80,74,74,34,NE,NE,NE,NE,NE
,Total,641,673,675,678,594,631,639,632,644,723,731,622,659,572,565,667,515,558,460,578,635,564,453,462,510,493,549,454
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NE (Not Estimated). State-level emissions are not estimated for 2013 through 2017 Inventory, and national emissions are determined using a surrogate data method.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
