"Table 5-12:  Rice Area Harvested (1,000 Hectares)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State/Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Arkansas,599,674,612,662,662,607,637,615,580,628,632,558,637,628,722,796,627,680,626,803,848,642,613,NE,NE,NE,NE,NE
,California,248,215,206,232,243,265,254,269,290,282,269,272,265,224,278,247,265,256,251,250,254,249,244,NE,NE,NE,NE,NE
,Florida,0,0,0,0,0,0,0,0,0,145,148,4,7,7,12,11,11,11,12,0,0,0,0,NE,NE,NE,NE,NE
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,NE
,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,NE
,Louisiana,380,406,456,389,404,334,401,391,421,459,423,423,376,343,356,402,256,309,256,333,325,318,226,NE,NE,NE,NE,NE
,Minnesota,4,4,4,6,7,5,6,6,8,14,11,10,9,7,5,10,10,0,4,10,5,5,6,NE,NE,NE,NE,NE
,Mississippi,119,111,148,142,134,136,102,109,80,83,82,94,139,137,70,115,81,90,92,56,91,53,92,NE,NE,NE,NE,NE
,Missouri,47,38,42,50,60,52,42,60,58,71,83,97,101,75,99,93,96,99,109,107,106,64,46,NE,NE,NE,NE,NE
,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,NE
,South Carolina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,NE
,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,NE,NE,NE,NE,NE
,Texas,300,313,371,315,189,308,273,219,161,119,195,160,256,202,151,150,129,122,57,153,135,120,66,NE,NE,NE,NE,NE
,Total,1698,1760,1839,1796,1699,1708,1718,1670,1598,1800,1842,1619,1790,1624,1694,"1,826",1476,1568,1408,1713,1764,1452,1293,NE,NE,NE,NE,NE
,NE (Not Estimated).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. States are included if NRI reports an area of rice production in the state at any time between 1990 and 2012. Rice harvested area data have not been compiled for 2013 to 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
