Table 5-17:  Direct N2O Emissions from Agricultural Soils by Land Use Type and N Input Type (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Cropland,148.1,148,147.2,146.9,151,150,151.7,150.7,158.3,151.9,153.3,152.9,152.1,156.1,163.6,154.7,157.3,161.5,157.1,157.8,164,159.2,157.6,161.3,160.1,166.8,162.2,161.6
,Mineral Soils,144.7,144.7,143.9,143.6,147.7,146.7,148.4,147.4,155,148.6,150,149.5,148.8,152.8,160.3,151.3,154,158.2,153.8,154.6,160.8,156,154.4,158,156.8,163.5,159,158.3
,Synthetic Fertilizer,53.3,53.6,54.6,52.2,57.6,53,56.9,55.6,56,54.7,55.6,52.5,53.8,54.9,56.6,54.3,55.6,58.2,55.2,53.3,54.9,57.4,60,60,59.6,62.2,60.5,60.2
,Organic Amendmenta,11.5,11.7,11.7,11.5,12,12,12,12.1,12.3,12.2,12.5,12.4,12.7,12.7,12.5,12.6,13.1,13.1,13,12.9,12.8,13,13.3,13.4,13.3,13.5,13.4,13.3
,Residue Nb,21.7,22.9,21,21.5,21.1,22.7,21.7,21.5,21.3,24.2,22.6,22.3,22.5,22.9,21.7,22.4,22.2,22.3,21.2,21.5,23.4,23.3,23.4,24.4,24.2,25.3,24.6,24.5
,Mineralization and Asymbiotic Fixation,58.3,56.5,56.6,58.5,57.1,58.9,57.8,58.1,65.5,57.5,59.4,62.2,59.8,62.3,69.5,62,63,64.6,64.3,66.9,69.7,62.3,57.7,60.2,59.7,62.5,60.6,60.3
,Drained Organic Soils,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.2
,Grassland,64.6,65.5,64.8,66.5,63,64.3,67.3,66.6,71,61.2,61.5,63.3,65.1,63.3,73.6,64.2,66.8,68.2,65,68.5,67.5,61,57.5,64.5,63.4,72.2,66.6,66.1
,Mineral Soils,61.7,62.6,62,63.6,60.1,61.4,64.4,63.7,68.1,58.4,58.7,60.5,62.3,60.6,70.9,61.5,64.1,65.6,62.4,65.9,64.9,58.4,54.9,61.9,60.8,69.6,64,63.4
,Synthetic Fertilizer,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,1,0.8,0.8,0.7,0.8,0.8,1,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.8,1,1,1.1,1,1
,PRP Manure,16.3,16,16.3,16.6,16.7,16.6,17,16,16.4,14.7,14.7,14.6,14.8,14.2,14.9,14,14.6,13.9,13.5,13.8,13.2,12.7,12.2,12.5,12.4,13.4,12.8,12.7
,Managed Manurec,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
,"Biosolids (i.e., Sewage Sludge)",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
,Residue Nd,15.9,15.7,15.7,16.1,14.5,15.8,16,16,16.1,16.3,15.3,16.3,16.5,16.3,17,16.6,16.6,17.5,16.3,16.8,17.4,15.8,16.2,18.8,18.4,21.4,19.5,19.3
,Mineralization and Asymbiotic Fixation,28.2,29.6,28.7,29.7,27.5,27.7,30.1,30.4,34.2,26,27.3,28.5,29.6,28.8,37.4,29.5,31.3,32.6,31.1,33.7,32.7,28.3,25,29,28.3,32.9,30,29.7
,Drained Organic Soils,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.9,2.8,2.8,2.7,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
,Total,212.7,213.5,212,213.4,214,214.2,219.1,217.2,229.3,213.1,214.8,216.2,217.2,219.4,237.2,218.9,224,229.7,222.1,226.4,231.5,220.2,215.1,225.9,223.4,239,228.8,227.7
,"a Organic amendment inputs include managed manure, daily spread manure, and commercial organic fertilizers (i.e., dried blood, dried manure, tankage, compost, and other).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Cropland residue N inputs include N in unharvested legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Managed manure inputs include managed manure and daily spread manure amendments that are applied to grassland soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Grassland residue N inputs include N in ungrazed legumes as well as ungrazed grass residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2012 are based on a data splicing method (See Methodology section). Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
