Table 5-2:  Emissions from Agriculture (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,"7,084","7,322","6,863","6,422","6,824","7,049","6,955","6,971","7,668","7,475","7,541","7,825","8,549","8,260","7,555","7,854","7,875","8,222","8,638","7,224","8,562","7,970","10,259","8,350","8,124","8,464","8,083","8,234"
,Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,515","4,728","4,877","5,051"
,Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,907","3,609","3,737","3,206","3,182"
,CH4,"8,697","8,807","8,944","9,114","9,264","9,511","9,441","9,372","9,462","9,560","9,513","9,442","9,534","9,480","9,278","9,579","9,548","9,890","9,723","9,759","9,826","9,687","9,558","9,412","9,397","9,597","9,892","9,946"
,Enteric Fermentation,"6,566","6,576","6,767","6,864","6,989","7,146","7,100","6,965","6,891","6,897","6,824","6,784","6,794","6,801","6,674","6,755","6,863","6,979","6,954","6,920","6,853","6,757","6,670","6,620","6,568","6,661","6,875","7,018"
,Manure Management,"1,486","1,555","1,500","1,569","1,678","1,731","1,696","1,771","1,923","1,936","1,955","2,031","2,074","2,097","2,033","2,150","2,165","2,347","2,302","2,254","2,328","2,360","2,426","2,322","2,311","2,435","2,461","2,467"
,Rice Cultivation,641,673,675,678,594,631,639,632,644,723,731,622,659,572,565,667,515,558,460,578,635,564,453,462,510,493,549,454
,Field Burning of Agricultural Residues,4,3,2,3,4,3,6,4,4,4,3,4,7,9,6,7,6,6,7,7,10,7,8,8,8,8,8,8
,N2O,892,883,887,916,876,898,913,900,966,891,888,914,908,922,999,910,943,970,951,966,981,945,891,949,939,991,959,957
,Agricultural Soil Management,845,835,839,869,826,847,862,849,914,837,832,859,851,866,945,854,885,912,893,909,924,887,832,890,880,932,898,894
,Manure Management,47,48,48,47,50,51,51,51,52,54,55,55,56,56,54,55,58,58,57,57,57,58,58,58,58,59,61,63
,Field Burning of Agricultural Residues,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , +  ,+ ,+ ,+ ,+ 
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
