Table 5-30:  Agricultural Crop Production (kt of Product),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,Maize,"294,558","274,509","336,167","260,206","341,041","267,607","314,124","319,619","332,517","325,421","335,034","330,923","313,551","342,879","386,675","370,338","360,348","410,709","389,205","419,737","392,683","389,657","341,374"
,Rice,"9,476","10,075","10,334","9,817","10,250","9,648","10,385","9,920","9,128","9,778","10,464","10,414","11,583","10,602","11,750","11,914","10,181","11,283","9,824","12,132","12,004","10,172","9,829"
,Wheat,"79,920","62,925","76,871","80,647","67,901","64,115","65,990","73,818","75,388","68,396","68,343","62,830","53,945","72,338","68,285","68,919","59,153","66,162","75,548","68,781","69,799","61,609","70,867"
,Barley,"9,087","9,758","9,415","10,726","8,074","7,909","7,889","7,513","7,544","5,534","6,233","5,694","5,339","5,476","6,176","5,042","4,121","4,549","4,609","5,249","4,152","3,778","5,293"
,Oats,"5,972","4,348","4,785","4,337","3,880","3,768","2,919","3,426","2,927","2,432","2,788","2,762","2,550","3,016","2,703","2,632","2,356","2,346","2,068","2,370","2,403","1,625","1,631"
,Other Small Grains,"2,639","2,633","2,541","3,420","3,285","3,009","2,872","3,233","3,919","4,487","4,144","4,543","3,608","4,597","4,154","2,007","1,642","1,733","1,556","1,532","1,752","1,237","1,681"
,Sorghum,"23,688","21,511","29,921","23,717","21,791","17,229","22,928","20,608","19,996","20,459","16,766","17,253","14,451","15,138","18,501","13,080","13,510","17,678","15,380","14,488","14,214","9,344","10,422"
,Cotton,"4,609","4,935","4,373","4,289","5,254","4,333","5,335","5,299","4,592","4,749","4,709","5,283","4,779","5,132","5,956","6,227","5,984","5,442","4,273","4,025","4,872","5,343","5,666"
,Grass Hay,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Legume Hay,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,"464,050"
,Peas,64,87,,110,99,139,104,148,257,194,329,240,245,217,657,706,600,607,471,837,802,302,534
,Sunflower,992,"1,647","1,075","1,318","1,872","1,675","1,425","1,453","2,207","1,835","1,708","1,301","1,200","1,279","1,002","1,397",960,"1,214","1,313","1,440","1,154",792,"1,204"
,Tobacco,"1,151","1,255","1,284","1,118","1,126","1,026","1,180","1,329","1,022",694,767,662,590,538,532,347,465,576,485,482,451,264,521
,Vegetables,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,407,503,"3,110","3,130",727,"1,095","1,197",903,"1,012",928,"1,193",871,"2,029","1,189","2,027"
,Chickpeas,+ ,+ ,+ ,+ ,+ ,2,2,+ ,1,3,1,16,8,6,+ ,7,5,3,+ ,+ ,+ ,+ ,+ 
,Dry Beans,638,656,547,629,965,"1,067",975,"1,054","1,145","1,266","1,069",829,"1,207",892,770,"1,084","1,071","1,167","1,106","1,245","1,431","1,079","1,159"
,Lentils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,20,37,24,26,35,36,105,119,92,109,92,167,327,59,121
,Peanuts,"1,822","2,385","2,447","1,829","2,349","2,031","2,267","2,102","2,283","2,135","1,811","2,564","1,951","2,575","2,075","2,242","1,666","2,122","2,412","1,964","1,952","1,906","2,649"
,Soybeans,"56,613","58,439","60,922","55,922","72,339","62,031","67,042","71,821","75,850","73,874","76,084","81,068","79,271","68,860","88,966","87,164","91,390","76,678","83,908","93,806","95,234","86,839","84,805"
,Potatoes,"18,960","22,887","20,315","20,118","21,078","21,485","22,019","18,398","22,622","21,769","23,459","21,406","21,864","17,726","22,698","19,471","20,121","21,609","19,410","19,437","19,664","20,296","20,517"
,Sugarbeets,"25,017","27,244","27,641","26,862","30,423","29,235","26,696","24,429","24,179","32,120","34,510","26,333","22,527","28,052","27,226","26,604","29,013","24,005","28,743","24,557","36,891","28,922","28,488"
,+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,
