Table 5-4:  CH4 Emissions from Enteric Fermentation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Beef Cattle,"4,763","4,786","4,999","5,110","5,253","5,419","5,393","5,260","5,191","5,159","5,070","5,037","5,040","5,041","4,956","5,007","5,081","5,123","5,078","5,034","4,984","4,873","4,763","4,722","4,660","4,722","4,919","5,052"
,Dairy Cattle,"1,574","1,559","1,538","1,526","1,502","1,498","1,481","1,475","1,463","1,503","1,519","1,509","1,512","1,520","1,476","1,503","1,534","1,601","1,623","1,639","1,627","1,645","1,670","1,664","1,679","1,706","1,722","1,730"
,Swine,81,85,88,87,90,88,84,88,93,90,88,88,90,90,91,92,93,98,101,99,97,98,100,98,96,102,105,108
,Horses,40,38,37,40,44,47,51,54,57,59,61,63,66,67,68,70,71,73,71,70,68,67,65,64,62,61,59,58
,Sheep,91,89,86,82,79,72,68,64,63,58,56,55,53,51,49,49,50,49,48,46,45,44,43,43,42,42,42,42
,Goats,13,13,13,12,12,12,12,11,12,12,12,12,13,13,14,14,15,16,15,15,14,14,13,13,12,12,11,11
,American Bison,4,5,5,6,7,9,10,11,13,14,16,18,19,19,18,17,17,16,16,15,15,14,13,13,13,13,13,13
,Mules and Asses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3
,Total,"6,566","6,576","6,767","6,864","6,989","7,146","7,100","6,965","6,891","6,897","6,824","6,784","6,794","6,801","6,674","6,755","6,863","6,979","6,954","6,920","6,853","6,757","6,670","6,620","6,568","6,661","6,875","7,018"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
