Table 5-6:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CH4a,37.1,38.9,37.5,39.2,42,43.3,42.4,44.3,48.1,48.4,48.9,50.8,51.9,52.4,50.8,53.7,54.1,58.7,57.5,56.4,58.2,59,60.6,58.1,57.8,60.9,61.5,61.7
,Dairy Cattle,14.7,15.2,14.8,15.4,16.4,17.1,17.4,18.1,19.3,21,22.2,23.8,24.6,25.9,24.7,26.4,27.3,30.3,31.1,31.1,31.4,32.4,34.3,33.4,34,34.8,34.4,34.5
,Beef Cattle,3.1,3.2,3.2,3.2,3.4,3.5,3.4,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.3,3.4,3.3,3.2,3.2,3.3,3.3,3.2,3.1,3,3.1,3.3,3.4
,Swine,15.5,16.8,15.9,17,18.5,19.1,18,19.2,21.6,20.3,19.8,19.9,20.3,19.5,19.2,20.3,19.7,21.3,19.6,18.5,19.9,19.8,19.6,18,17.2,19.2,20.2,20
,Sheep,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Poultry,3.3,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3.3,3.1,3.2,3.3,3.2,3.3,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.4
,Horses,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2Ob,14,14.2,14.2,14,14.8,15.1,15.1,15.2,15.5,16,16.4,16.3,16.7,16.8,16.2,16.5,17.2,17.3,17.1,17,17.1,17.3,17.4,17.4,17.4,17.6,18.2,18.7
,Dairy Cattle,5.3,5.3,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.4,5.5,5.6,5.6,5.7,5.4,5.6,5.7,5.8,5.7,5.7,5.8,5.8,5.9,5.9,5.9,6.1,6.1,6.1
,Beef Cattle,5.9,6,6,5.7,6.2,6.5,6.4,6.4,6.5,7.2,7.4,7.2,7.4,7.5,7,7.2,7.7,7.6,7.5,7.5,7.6,7.7,7.7,7.7,7.8,7.7,8.1,8.6
,Swine,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.8,1.9,1.9
,Sheep,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Poultry,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
,Horses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,American Bisonc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Total,51.1,53.1,51.7,53.3,56.7,58.4,57.5,59.5,63.5,64.4,65.3,67.1,68.5,69.2,67,70.2,71.3,76,74.6,73.4,75.3,76.3,78.1,75.5,75.2,78.5,79.7,80.4
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Emissions from manure deposited on pasture are included in the Agricultural Soils Management sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
