Table 5-7:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CH4a,"1,486","1,555","1,500","1,569","1,678","1,731","1,696","1,771","1,923","1,936","1,955","2,031","2,074","2,097","2,033","2,150","2,165","2,347","2,302","2,254","2,328","2,360","2,426","2,322","2,311","2,435","2,461","2,467"
,Dairy Cattle,590,607,591,614,656,685,695,725,771,841,889,951,985,"1,036",988,"1,057","1,091","1,212","1,242","1,242","1,256","1,297","1,372","1,338","1,360","1,390","1,374","1,381"
,Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,122,120,126,131,135
,Swine,622,674,637,678,740,763,722,767,865,813,790,797,810,781,770,812,789,851,786,740,797,791,783,721,688,770,807,802
,Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,129,132,136,136,137
,Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,9,9,9,8
,American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2Ob,47,48,48,47,50,51,51,51,52,54,55,55,56,56,54,55,58,58,57,57,57,58,58,58,58,59,61,63
,Dairy Cattle,18,18,18,18,18,18,18,18,19,18,18,19,19,19,18,19,19,19,19,19,19,19,20,20,20,20,21,21
,Beef Cattle,20,20,20,19,21,22,21,21,22,24,25,24,25,25,24,24,26,26,25,25,25,26,26,26,26,26,27,29
,Swine,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7
,Sheep,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Poultry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Horses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bisonc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not available),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Emissions from manure deposited on pasture are included in the Agricultural Soils Management sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
