Table 5-9:  IPCC (2006) Implied Emission Factor Default Values Compared with Calculated Values for CH4 from Manure Management (kg/head/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Type,IPCC Default ,Implied CH4 Emission Factors (kg/head/year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CH4 Emission Factors (kg/head/year),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Dairy Cattle,48.0-112.0,30.2,31.3,31,32.3,35,36.7,37.5,39.5,42.5,46.5,49,53.1,55.3,57.8,56,59.4,60.4,66.6,67.4,66.9,68.6,70.3,73.8,72.3,73.4,73.9,72.9,73.1
,Beef Cattle,1.0-2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.7,1.7,1.7
,Swine,10.0-45.0,11.5,11.9,10.9,11.7,12.3,12.9,12.8,13.1,14,13.5,13.4,13.5,13.5,13.1,12.7,13.3,12.7,13,11.7,11.2,12.3,12.1,11.8,11,10.7,11.3,11.5,11.1
,Sheep,0.19-0.37,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Goats,0.13-0.26,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Poultry,0.02-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Horses,1.56-3.13,4.3,4.3,4.2,4.1,4.2,4.1,4.1,4.1,4.2,4.1,3.8,3.7,3.5,3.4,3.2,3.1,3,2.8,2.6,2.5,2.6,2.6,2.7,2.5,2.5,2.6,2.6,2.6
,American Bison,NA,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2,2,2.1,2.1,2.1
,Mules and Asses,0.76-1.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9,1,1,0.9,0.9,1,1,1
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
