"Table 6-1:  Net CO2 Flux from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Forest Land Remaining Forest Land,-671.6,-673.9,-668.1,-670.7,-666.1,-650.4,-656,-647.2,-645.1,-633.1,-612.4,-596,-608.9,-525.9,-574.8,-639.4,-633.1,-615.6,-565,-600.4,-588.2,-614.4,-604.1,-616.7,-568.8,-645.2,-628.9,-621.1
,Changes in Forest Carbon Stocksa,-671.6,-673.9,-668.1,-670.7,-666.1,-650.4,-656,-647.2,-645.1,-633.1,-612.4,-596,-608.9,-525.9,-574.8,-639.4,-633.1,-615.6,-565,-600.4,-588.2,-614.4,-604.1,-616.7,-568.8,-645.2,-628.9,-621.1
,Land Converted to Forest Land,-119.1,-119.1,-119.1,-119.2,-119.3,-119.4,-119.5,-119.5,-119.5,-119.6,-119.7,-119.7,-119.8,-119.8,-119.9,-120,-120.1,-120.1,-120.1,-120.2,-120.3,-120.4,-120.4,-120.5,-120.5,-120.6,-120.6,-120.6
,Changes in Forest Carbon Stocksb,-119.1,-119.1,-119.1,-119.2,-119.3,-119.4,-119.5,-119.5,-119.5,-119.6,-119.7,-119.7,-119.8,-119.8,-119.9,-120,-120.1,-120.1,-120.1,-120.2,-120.3,-120.4,-120.4,-120.5,-120.5,-120.6,-120.6,-120.6
,Cropland Remaining Cropland,-40.9,-48.1,-40,-21.1,-32.8,-26.3,-34.5,-33.8,-22.7,-42.3,-47.7,-36,-32.1,-24,-23,-26.5,-22.2,-20.1,-8.5,-3.2,-3.4,-19.1,-21.4,-11.4,-12,-6.3,-9.9,-10.3
,Changes in Mineral and Organic Soil Carbon Stocks,-40.9,-48.1,-40,-21.1,-32.8,-26.3,-34.5,-33.8,-22.7,-42.3,-47.7,-36,-32.1,-24,-23,-26.5,-22.2,-20.1,-8.5,-3.2,-3.4,-19.1,-21.4,-11.4,-12,-6.3,-9.9,-10.3
,Land Converted to Cropland,75.6,76.2,78.3,73,69.7,75.6,72.6,74.2,68.3,68.3,68,67.1,66.8,68.1,67.2,66.7,67.6,66.1,66.4,65.8,67.5,67.4,66.5,66.9,66.7,66.7,67.3,66.9
,Changes in all Ecosystem Carbon Stocksc,75.6,76.2,78.3,73,69.7,75.6,72.6,74.2,68.3,68.3,68,67.1,66.8,68.1,67.2,66.7,67.6,66.1,66.4,65.8,67.5,67.4,66.5,66.9,66.7,66.7,67.3,66.9
,Grassland Remaining Grassland,-4.2,-6.9,-1.8,6.4,-19.5,3.6,-17.3,-4.2,-12,0.2,-29.4,-5.4,-7.3,-4.1,4.1,5.5,-11.7,4.8,-7.1,-2.4,4.5,-12.5,-20.8,-3.7,-7.5,9.6,-1.6,-0.1
,Changes in Mineral and Organic Soil Carbon Stocks,-4.2,-6.9,-1.8,6.4,-19.5,3.6,-17.3,-4.2,-12,0.2,-29.4,-5.4,-7.3,-4.1,4.1,5.5,-11.7,4.8,-7.1,-2.4,4.5,-12.5,-20.8,-3.7,-7.5,9.6,-1.6,-0.1
,Land Converted to Grassland,8.7,8.6,8.9,8.2,6.3,7.6,6.6,6.8,5.6,5.2,3.2,4.1,4,4.4,5,5.1,4.1,5.9,6.3,6.8,6.9,6.9,6.8,8.3,7.9,9.8,8.5,8.3
,Changes in all Ecosystem Carbon Stocksc,8.7,8.6,8.9,8.2,6.3,7.6,6.6,6.8,5.6,5.2,3.2,4.1,4,4.4,5,5.1,4.1,5.9,6.3,6.8,6.9,6.9,6.8,8.3,7.9,9.8,8.5,8.3
,Wetlands Remaining Wetlands,-4,-4.1,-4.2,-4.1,-4.2,-4.1,-7.4,-7.3,-7.2,-7.2,-7.1,-5.7,-5.8,-5.8,-5.6,-5.7,0.6,0.8,0.8,0.8,0.9,-4.1,-4.3,-4.3,-4.3,-4.4,-4.4,-4.4
,Changes in Organic Soil Carbon Stocks in Peatlands,1.1,1,0.9,1,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1,1,1.2,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.7,0.7
,Changes in Aboveground and Soil Carbon Stocks in Coastal Wetlands,-5.1,-5.1,-5.1,-5.1,-5.1,-5.2,-8.3,-8.3,-8.4,-8.4,-8.4,-6.9,-6.8,-6.8,-6.8,-6.8,-0.3,-0.2,-0.2,-0.2,-0.2,-5,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1
,Land Converted to Wetlands,(+),(+),(+),(+),(+),(+),-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,Changes in Aboveground and Soil Carbon Stocksd,(+),(+),(+),(+),(+),(+),-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,Settlements Remaining Settlements,-122.1,-121.7,-122.3,-120.9,-120,-118.4,-118.1,-119,-119.3,-120.9,-123.4,-124.2,-125.3,-125,-126.1,-127.8,-129.2,-129.8,-131.5,-134.6,-136.4,-137,-137.1,-135.9,-135.8,-135.4,-134.7,-134.5
,Changes in Organic Soil Carbon Stocks,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.6,0.8,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3
,Changes in Settlement Tree Carbon Stocks,-96.2,-97.4,-98.4,-100,-101.5,-103.1,-104.7,-106.1,-107.6,-108.8,-110.1,-110.9,-111.8,-113.5,-115.2,-116.8,-118.4,-119.9,-121.7,-123,-124.3,-125.5,-126.1,-125.6,-125,-124.5,-123.9,-123.9
,Changes in Yard Trimmings and Food Scrap Carbon Stocks in Landfills,-26,-24.5,-24,-21,-18.6,-15.5,-13.5,-13,-11.8,-12.2,-13.4,-13.4,-13.6,-11.8,-11.3,-11.4,-11.4,-10.7,-10.7,-12.6,-13.3,-12.7,-12.3,-11.7,-12.1,-12.3,-12.1,-11.9
,Land Converted to Settlements,62.9,64.4,66.1,67.9,69.7,71.6,73.9,75.8,77.7,79.4,81.2,82.6,84.6,85,85.7,86,86.7,87.1,87.2,87,86.6,86,85.9,86.4,86.5,86.5,86.4,86.2
,Changes in all Ecosystem Carbon Stocksc,62.9,64.4,66.1,67.9,69.7,71.6,73.9,75.8,77.7,79.4,81.2,82.6,84.6,85,85.7,86,86.7,87.1,87.2,87,86.6,86,85.9,86.4,86.5,86.5,86.4,86.2
,LULUCF Carbon Stock Change,-814.8,-824.7,-802.3,-780.6,-816.3,-760.2,-799.8,-774.4,-774.3,-770.1,-787.3,-733.2,-743.8,-647.1,-687.5,-756.1,-757.3,-720.9,-671.5,-700.3,-682,-747.2,-749,-731,-687.8,-739.4,-738.1,-729.6
,+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes the net changes to carbon stocks stored in all forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes the net changes to carbon stocks stored in all forest ecosystem pools (excludes drained organic soils which are included in the flux from Forest Land Remaining Forest Land because it is not possible to separate the activity data at this time).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c Includes changes in mineral and organic soil carbon stocks for all land use conversions to cropland, grassland, and settlements, respectively. Also includes aboveground/belowground biomass, dead wood, and litter carbon stock changes for conversion of forest land to cropland, grassland, and settlements, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Includes aboveground and soil carbon stock changes for land converted to vegetated coastal wetlands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
