"Table 6-2:  Emissions from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Land-Use Sub-Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CH4,5,4.9,5.4,4,8.3,4.2,7.5,4,5.1,7,11.5,6.1,12.5,10.2,11.1,9,10.6,12,9.8,8.5,7,8.6,13,9.9,10.1,16.5,8.8,8.8
,Forest Land Remaining Forest Land: Forest Firesa,1.5,1.4,1.8,0.5,4.5,0.6,3.6,0.4,1.5,3.1,7.5,2.3,8.8,6.5,7.5,5.2,6.2,8,6,4.6,3.3,4.3,8.9,6.1,6.1,12.6,4.9,4.9
,Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6
,Grassland Remaining Grassland: Grassland Firesb,0.1,0.1,0.1,0.1,0.3,0.1,0.5,0.1,0.1,0.4,0.4,0.2,0.2,0.2,0.1,0.3,0.8,0.5,0.3,0.4,0.2,0.8,0.6,0.2,0.4,0.3,0.3,0.3
,Land Converted to Wetlands: Land Converted to Coastal Wetlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Forest Land Remaining Forest Land: Drained Organic Soilsc,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,2.8,2.8,3.3,2.6,5.7,2.9,5.4,2.9,3.5,5.1,8.4,5,9.3,7.8,8.3,7,8.2,9.2,7.4,6.5,5.6,7,9.9,7.6,7.7,11.8,6.7,6.7
,Forest Land Remaining Forest Land: Forest Firesa,1,0.9,1.2,0.3,3,0.4,2.3,0.2,1,2,4.9,1.5,5.8,4.3,4.9,3.4,4.1,5.3,4,3,2.2,2.8,5.8,4,4,8.3,3.2,3.2
,Settlements Remaining Settlements: Settlement Soilsd,1.4,1.5,1.6,1.8,2,1.8,1.9,1.9,1.7,1.8,2.2,2.4,2.5,2.5,2.6,2.5,2.5,2.6,2.5,2.4,2.5,2.6,2.7,2.6,2.6,2.5,2.5,2.5
,Forest Land Remaining Forest Land: Forest Soilse,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Grassland Remaining Grassland: Grassland Firesb,0.1,0.1,0.1,0.1,0.3,0.2,0.5,0.1,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.3,0.9,0.6,0.3,0.4,0.2,0.9,0.6,0.2,0.4,0.3,0.3,0.3
,Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Forest Land Remaining Forest Land: Drained Organic Soilsc,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,LULUCF Emissions,7.8,7.7,8.7,6.7,14,7.1,12.9,6.9,8.6,12.2,19.8,11.1,21.8,18,19.4,16,18.8,21.2,17.3,15,12.6,15.6,22.9,17.5,17.7,28.3,15.5,15.5
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Estimates include emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Estimates include emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Estimates include emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
